candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w250_q20_shared__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,9572,0
r2_s_pct_w250_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4684,0
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,5,5
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,388,0
r2_s_pct_w250_q20_shared__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,5077,0
r2_s_pct_w250_q20_shared__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,388,0
r2_s_pct_w250_q20_shared__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,9439,0
r2_s_pct_w250_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4551,0
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,5,5
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,654,0
r2_s_pct_w250_q20_shared__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,5210,0
r2_s_pct_w250_q20_shared__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,654,0
r2_s_pct_w250_q20_shared__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5268,0
r2_s_pct_w250_q20_shared__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2249,0
r2_s_pct_w250_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2634,0
r2_s_pct_w250_q20_shared__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2634,0
r2_s_pct_w250_q20_shared__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5206,0
r2_s_pct_w250_q20_shared__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2249,0
r2_s_pct_w250_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2519,0
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,4,4
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,124,0
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,98,0
r2_s_pct_w250_q20_shared__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2745,0
r2_s_pct_w250_q20_shared__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,98,0
r2_s_pct_w250_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,124,0
r2_s_pct_w250_q20_shared__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5159,0
r2_s_pct_w250_q20_shared__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2249,0
r2_s_pct_w250_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2441,0
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,4,4
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,218,0
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,160,0
r2_s_pct_w250_q20_shared__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2823,0
r2_s_pct_w250_q20_shared__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,160,0
r2_s_pct_w250_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,218,0
r2_s_pct_w250_q20_shared__d3__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,2884,0
r2_s_pct_w250_q20_shared__d3__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3441,0
r2_s_pct_w250_q20_shared__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d3__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1442,0
r2_s_pct_w250_q20_shared__d3__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1442,0
r2_s_pct_w250_q20_shared__d3__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d3__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,2862,0
r2_s_pct_w250_q20_shared__d3__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3441,0
r2_s_pct_w250_q20_shared__d3__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d3__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1381,0
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,3,3
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,44,0
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,72,0
r2_s_pct_w250_q20_shared__d3__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1500,0
r2_s_pct_w250_q20_shared__d3__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d3__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,72,0
r2_s_pct_w250_q20_shared__d3__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,44,0
r2_s_pct_w250_q20_shared__d3__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,2845,0
