formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,step_id,left_out_year,N,n11,n10,n01,n00,retention,target_marginal,lift,delta,nonanchor_target_rate,delta_nonanchor,joint_rate,independence_expected_joint_rate,joint_excess,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2017,1443950,10018,25961,225461,1182510,0.2784402012284944,0.16307974652861942,1.7073867672441467,0.11536045469987496,0.16013184930655533,0.11830835192193906,0.0069379133626510615,0.004063469095434882,0.002874444267216179,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2018,1429225,9808,26121,220094,1173202,0.2729828272426174,0.1608578075530445,1.697044311340614,0.11212501968957292,0.15796643355037265,0.11501639369224476,0.006862460424355857,0.004043772091569442,0.0028186883327864145,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2019,1418108,9549,24511,226026,1158022,0.2803581914268937,0.16611922364164083,1.687692641952709,0.11423896778525289,0.1633079199565333,0.11705027147036043,0.006733619724308726,0.0039898376972940615,0.002743782027014665,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2020,1411427,9808,26120,226477,1149022,0.27299042529503453,0.16740858719579546,1.6306835262623303,0.10558183809923907,0.16465079218523604,0.1083396331097985,0.006948995590986994,0.004261400498056604,0.00268759509293039,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2021,1401387,9630,25475,220525,1145757,0.2743198974505056,0.1642337198789485,1.6703019188306651,0.11008617757155711,0.16140518575228247,0.11291471169822315,0.006871763474329361,0.004114084643535645,0.0027576788307937155,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2022,1391534,9211,24495,212426,1145402,0.27327478787159554,0.15927530337023746,1.7157386116312385,0.11399948450135808,0.1564454408069358,0.11682934706465975,0.006619313649540722,0.0038579965530107234,0.002761317096529999,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2023,1383578,9158,23658,213944,1136818,0.2790711847879083,0.1612500343312773,1.730673645715792,0.11782115045663102,0.1583876360158192,0.12068354877208912,0.006619070265644582,0.003824562927869044,0.0027945073377755383,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2024,1377716,10042,26062,220137,1121475,0.278140926213162,0.16707289455882054,1.6647878577050585,0.11106803165434145,0.16408395273745316,0.11405697347570884,0.0072888752108562285,0.004378260675750051,0.002910614535106178,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2025,1374371,9247,22838,217195,1125091,0.28820321022284556,0.16476046133103797,1.7492255599101867,0.12344274889180759,0.1618097782439808,0.12639343197886477,0.006728168740463819,0.0038463700134871537,0.0028817987269766656,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V_GIVEN_PCT,2026,1473357,10538,27433,236527,1198859,0.2775275868425904,0.1676884828320631,1.6550187714473454,0.10983910401052727,0.16478285283540456,0.11274473400718582,0.007152373796710505,0.004321626993061606,0.0028307468036488986,true
