step_id,W,q,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,retention,target_marginal_rate,lift,delta,delta_nonanchor,year_share_of_step_denominator
C_GIVEN_P,120,0.2,2019,144350,18829,21278,18583,85660,40107,37412,0.4694691699703294,0.25917561482507795,1.8113940630069776,0.21029355514525144,0.29120300341717953,0.09232148727453666
C_GIVEN_P,120,0.2,2020,151961,10169,12276,21172,108344,22445,31341,0.4530630429939853,0.20624370726699615,2.1967363222746243,0.24681933572698916,0.2895928925878579,0.09718923122775107
C_GIVEN_P,120,0.2,2021,162826,14002,19404,23434,105986,33406,37436,0.4191462611506915,0.22991414147617703,1.823055591359186,0.18923211967451445,0.2380768746571047,0.10413812599212821
C_GIVEN_P,120,0.2,2022,172988,17158,21405,25172,109253,38563,42330,0.4449342634131162,0.24469905426966032,1.818291716496767,0.20023520914345588,0.25767742874694544,0.11063740520019084
C_GIVEN_P,120,0.2,2023,181754,22871,28077,24850,105956,50948,47721,0.4489086912145717,0.2625581830386126,1.7097493820962109,0.1863505081759591,0.2589326962296322,0.11624384896498882
C_GIVEN_P,120,0.2,2024,186108,8751,13338,28457,135562,22089,37208,0.3961700393861198,0.1999269241515679,1.98157422301849,0.19624311523455187,0.22267184710351837,0.11902852340623117
C_GIVEN_P,120,0.2,2025,189646,24239,27108,24144,114155,51347,48383,0.4720626326757162,0.2551227022979657,1.8503356558381843,0.2169399303777505,0.29748436385236965,0.12129131122734174
C_GIVEN_P,120,0.2,2026,91202,2749,5169,12447,70837,7918,15196,0.3471836322303612,0.16661915308874806,2.0836958164433668,0.18056447914161314,0.1977311563646487,0.058329783736836116
C_GIVEN_P,120,0.3,2016,27827,9106,3913,2813,11995,13019,11919,0.6994392810507719,0.4283250080856722,1.6329639125597641,0.2711142729650997,0.5094743972042025,0.017797229140204585
C_GIVEN_P,120,0.3,2017,120518,17342,13574,17585,72017,30916,34927,0.5609393194462414,0.28980733168489353,1.9355594497386586,0.2711319877613479,0.36468253946365176,0.0770793280453939
C_GIVEN_P,120,0.3,2018,134378,18220,14395,25195,76568,32615,43415,0.5586386631917829,0.32308115911830804,1.7290970006307822,0.23555750407347487,0.3110535880662461,0.08594372578439687
C_GIVEN_P,120,0.3,2019,144350,31831,23353,19775,69391,55184,51606,0.5768157436938243,0.357506061655698,1.6134432547030098,0.21930968203812629,0.3550383846107657,0.09232148727453666
C_GIVEN_P,120,0.3,2020,151961,19260,15681,25478,91542,34941,44738,0.5512149051257834,0.2944044853613756,1.872304711829299,0.2568104197644078,0.33349143905160805,0.09718923122775107
C_GIVEN_P,120,0.3,2021,162826,24671,21939,27540,88676,46610,52211,0.5293070156618751,0.3206551779199882,1.6507047199279936,0.2086518377418869,0.29233448175948645,0.10413812599212821
C_GIVEN_P,120,0.3,2022,172988,29918,24955,28899,89216,54873,58817,0.5452226049240975,0.34000624320762135,1.6035664515464878,0.20521636171647611,0.3005542732134765,0.11063740520019084
C_GIVEN_P,120,0.3,2023,181754,38161,31661,27403,84529,69822,65564,0.5465469336312337,0.360729337456122,1.515116395814948,0.18581759617511173,0.30172865110255565,0.11624384896498882
C_GIVEN_P,120,0.3,2024,186108,17389,17029,35880,115810,34418,53269,0.5052298216049741,0.2862262772153803,1.7651412949230982,0.2190035443895938,0.2686947830394787,0.11902852340623117
C_GIVEN_P,120,0.3,2025,189646,39027,29035,27896,93688,68062,66923,0.5734036613675766,0.3528837940162197,1.6249078906163117,0.22051986735135687,0.343965577409161,0.12129131122734174
C_GIVEN_P,120,0.3,2026,91202,6223,6950,15969,62060,13173,22192,0.472405678281333,0.24332799719304402,1.941435772828683,0.229077681088289,0.2677509986109541,0.058329783736836116
C_GIVEN_P,250,0.1,2017,78284,1434,3492,4668,68690,4926,6102,0.2911084043848965,0.07794696234224108,3.7346985134164594,0.2131614420426554,0.227475262805246,0.053603647710286674
C_GIVEN_P,250,0.1,2018,128438,2024,4808,10070,111536,6832,12094,0.2962529274004684,0.09416216384559087,3.146199230152254,0.2020907635548775,0.21344451334195153,0.08794575270315518
C_GIVEN_P,250,0.1,2019,140488,7383,16997,11061,105047,24380,18444,0.30283018867924527,0.13128523432606343,2.306658400952603,0.17154495435318184,0.2075654351738882,0.09619678682135244
C_GIVEN_P,250,0.1,2020,147514,2732,5478,11115,128189,8210,13847,0.3327649208282582,0.09386905649633255,3.544990577818999,0.23889586433192567,0.2529753957607799,0.10100772173541502
C_GIVEN_P,250,0.1,2021,156731,5005,12393,12892,126441,17398,17897,0.2876767444533854,0.11418927972130594,2.519297303175032,0.1734874647320795,0.19515020730855973,0.10731890691943362
C_GIVEN_P,250,0.1,2022,168340,5866,12327,14442,135705,18193,20308,0.3224317045017314,0.12063680646311037,2.672747347637457,0.20179489803862105,0.22624596652494866,0.11526797373089852
C_GIVEN_P,250,0.1,2023,177739,12480,24061,16100,125098,36541,28580,0.3415341670999699,0.1607975739708224,2.1240007461924963,0.18073659312914753,0.2275098891356928,0.12170378034309237
C_GIVEN_P,250,0.1,2024,183635,1819,4852,13429,163535,6671,15248,0.27267276270424223,0.08303427995752444,3.283857737355294,0.1896384827467178,0.19678727186994827,0.1257409668294734
C_GIVEN_P,250,0.1,2025,188429,12598,22360,16386,137085,34958,28984,0.3603753075118714,0.1538192104187784,2.3428498074508153,0.206556097093093,0.25360595043463857,0.1290235774155844
C_GIVEN_P,250,0.1,2026,90825,626,2390,5170,82639,3016,5796,0.20755968169761274,0.0638150289017341,3.2525203744281708,0.14374465279587864,0.14868189012727256,0.06219088579130841
C_GIVEN_P,250,0.2,2017,78284,4073,5786,7933,60492,9859,12006,0.41312506339385335,0.1533646722190997,2.6937433335602545,0.2597603911747537,0.29718790592216904,0.053603647710286674
C_GIVEN_P,250,0.2,2018,128438,6284,7835,17072,97247,14119,23356,0.4450740137403499,0.1818464940282471,2.4475259537927325,0.2632275197121028,0.2957375079976474,0.08794575270315518
C_GIVEN_P,250,0.2,2019,140488,19540,22559,14627,83762,42099,34167,0.46414404142616217,0.24320226638574113,1.9084692273795965,0.22094177504042103,0.3154790483883226,0.09619678682135244
C_GIVEN_P,250,0.2,2020,147514,7869,9443,18797,111405,17312,26666,0.4545402033271719,0.18076928291551989,2.5144769951850456,0.27377092041165196,0.3101722212685245,0.10100772173541502
C_GIVEN_P,250,0.2,2021,156731,13164,17262,20261,106044,30426,33425,0.43265628081246305,0.21326348967338943,2.0287405100379403,0.21939279113907362,0.2722429955110102,0.10731890691943362
C_GIVEN_P,250,0.2,2022,168340,16147,19551,21517,111125,35698,37664,0.4523222589500812,0.22373767375549483,2.0216633674505275,0.22858458519458638,0.29010365549114664,0.11526797373089852
C_GIVEN_P,250,0.2,2023,177739,29141,31762,20762,96074,60903,49903,0.47848217657586656,0.2807656170002082,1.7042050294054052,0.19771655957565837,0.30078009844926173,0.12170378034309237
C_GIVEN_P,250,0.2,2024,183635,6488,8816,23051,145280,15304,29539,0.4239414532148458,0.16085713507773572,2.635515378350933,0.2630843181371101,0.2870029213936126,0.1257409668294734
C_GIVEN_P,250,0.2,2025,188429,27744,28016,22899,109770,55760,50643,0.4975609756097561,0.26876436217355076,1.851290742514676,0.22879661343620533,0.32495848369378477,0.1290235774155844
C_GIVEN_P,250,0.2,2026,90825,2325,4239,9699,74562,6564,12024,0.35420475319926875,0.1323864574731627,2.675536153470025,0.22181829572610606,0.2390981202374003,0.06219088579130841
C_GIVEN_P,250,0.3,2017,78284,7933,7380,10536,52435,15313,18469,0.5180565532554039,0.2359230494098411,2.195870876335808,0.2821335038455628,0.35074143994927887,0.053603647710286674
C_GIVEN_P,250,0.3,2018,128438,12244,9921,22556,83717,22165,34800,0.552402436273404,0.2709478503246703,2.0387777043127433,0.28145458594873374,0.34015661654496876,0.08794575270315518
C_GIVEN_P,250,0.3,2019,140488,33003,24304,15993,67188,57307,48996,0.5758982323276388,0.3487557656169922,1.6512937967026966,0.22714246671064664,0.3836307674017543,0.09619678682135244
C_GIVEN_P,250,0.3,2020,147514,15239,12462,24457,95356,27701,39696,0.5501245442402801,0.26909988204509405,2.0443135837127335,0.28102466219518607,0.34599811388631185,0.10100772173541502
C_GIVEN_P,250,0.3,2021,156731,23367,19946,24683,88735,43313,48050,0.5394916076004894,0.306576235715972,1.7597306795178418,0.23291537188451744,0.32186301249212923,0.10731890691943362
C_GIVEN_P,250,0.3,2022,168340,29847,23733,25473,89287,53580,55320,0.5570548712206047,0.3286206486871807,1.6951304595313919,0.228434222533424,0.3350872866963802,0.11526797373089852
C_GIVEN_P,250,0.3,2023,177739,47008,34638,21937,74156,81646,68945,0.5757538642431962,0.3879002357389206,1.4842833574112908,0.18785362850427562,0.347464602798554,0.12170378034309237
C_GIVEN_P,250,0.3,2024,183635,13860,11999,31273,126503,25859,45133,0.535983603387602,0.245775587442481,2.1807845480708634,0.29020801594512097,0.33777221509026906,0.1257409668294734
C_GIVEN_P,250,0.3,2025,188429,44281,29717,26659,87772,73998,70940,0.5984080650828401,0.3764813271842445,1.5894760825415064,0.22192673789859557,0.36543797830565555,0.1290235774155844
C_GIVEN_P,250,0.3,2026,90825,5227,5744,13592,66262,10971,18819,0.47643788168808676,0.20720066061106523,2.29940329477233,0.2692372210770215,0.30622724728029255,0.06219088579130841
C_GIVEN_P,500,0.1,2018,70533,478,1354,4108,64593,1832,4586,0.2609170305676856,0.06501921086583586,4.012922136291009,0.19589781970184977,0.20112168552176196,0.05582430141466202
C_GIVEN_P,500,0.1,2019,128944,5625,11228,8733,103358,16853,14358,0.3337684685219249,0.11135066385407619,2.9974537822183507,0.2224178046678487,0.2558585560401021,0.10205448118770193
C_GIVEN_P,500,0.1,2020,140277,3084,5979,9756,121458,9063,12840,0.3402846739490235,0.09153318077803203,3.717610062893082,0.2487514931709915,0.26593285173493053,0.11102413805657699
C_GIVEN_P,500,0.1,2021,147345,3860,8460,10278,124747,12320,14138,0.3133116883116883,0.09595167803454478,3.265307024634723,0.21736001027714352,0.237192451133388,0.1166182027128206
C_GIVEN_P,500,0.1,2022,157023,4882,10376,11961,129804,15258,16843,0.3199632979420632,0.1072645408634404,2.982936349388861,0.2126987570786228,0.2355912738176319,0.12427798733974842
C_GIVEN_P,500,0.1,2023,168744,15454,28017,14092,111181,43471,29546,0.3555013687285777,0.1750936329588015,2.0303500631129463,0.18040773576977617,0.24301104758994446,0.13355473208166005
C_GIVEN_P,500,0.1,2024,176563,1776,4244,12218,158325,6020,13994,0.2950166112956811,0.07925782865039674,3.7222393840359684,0.21575878264528434,0.2233748552576144,0.1397431858942193
C_GIVEN_P,500,0.1,2025,184354,11108,19204,14992,139050,30312,26100,0.36645552916336765,0.14157544723738025,2.5884115947656507,0.2248800819259874,0.2691314227508308,0.14590947872625015
C_GIVEN_P,500,0.1,2026,89699,1203,3364,5484,79648,4567,6687,0.2634114298226407,0.07454932607944348,3.533384453964565,0.18886210374319723,0.1989938195233408,0.07099349258636055
