candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCVT,278,434,1.5611510791366907,1.0,1.0,2.0,3.0,0.6294964028776978,0,0
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCT,3129,6016,1.9226589964844998,1.0,1.0,2.0,4.0,0.5343560242889102,0,13
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCVT,776,1404,1.809278350515464,1.0,1.0,2.0,3.0,0.5657216494845361,0,2
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCT,7673,20479,2.6689691124723054,2.0,1.0,3.0,5.0,0.3830314088361788,0,75
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCVT,2037,4799,2.355915562101129,2.0,1.0,3.0,5.0,0.43888070692194403,0,18
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCT,9499,29515,3.1071691757027056,2.0,1.0,4.0,6.0,0.3274028845141594,0,121
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCVT,2632,6988,2.655015197568389,2.0,1.0,3.0,5.0,0.3829787234042553,0,33
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCT,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCVT,746,1520,2.037533512064343,1.0,1.0,3.0,4.0,0.5067024128686327,0,4
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCT,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCVT,1052,2156,2.049429657794677,1.0,1.0,3.0,4.0,0.5038022813688213,0,4
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCT,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCVT,1769,3723,2.104578858111928,2.0,1.0,3.0,4.0,0.48049745618993783,0,7
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCT,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCVT,2179,4567,2.095915557595227,2.0,1.0,3.0,4.0,0.49105094079853145,0,9
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,4884,10854,2.2223587223587224,2.0,1.0,3.0,4.0,0.4606879606879607,0,35
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,1024,2143,2.0927734375,2.0,1.0,3.0,4.0,0.48046875,0,8
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_P,13025,133792,10.27193857965451,7.0,3.0,14.0,25.0,0.1276775431861804,0,739
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PC,7621,60015,7.874950793859074,5.0,2.0,11.0,18.0,0.14722477365175174,0,362
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCT,2961,6524,2.203309692671395,2.0,1.0,3.0,4.0,0.45829111786558596,0,25
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCVT,779,1637,2.1014120667522467,2.0,1.0,3.0,4.0,0.4878048780487805,0,7
