W,changed_layer,metric,q10,q15,q20,q25,q30,delta_10_15,delta_15_20,delta_20_25,delta_25_30,left_slope,right_slope,monotonic_increasing,monotonic_decreasing,locally_flat,direction_reversal,boundary_response,isolated_spike_warning,classifications,baseline_attrition_share,confirmed_coverage_response_rank,nonflat_response_category_count
120,T,affected_delta,0.04457839067986291,0.08283409111476754,0.12103360554601891,0.157463017260274,0.19070492203738948,0.03825570043490463,0.03819951443125137,0.036429411714255094,0.03324190477711547,0.7639902886250274,0.7285882342851019,true,false,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,T,affected_lift,1.7968458046052418,1.7979687002730855,1.789074975171152,1.7719836208898712,1.7464681776306956,0.0011228956678437374,-0.008893725101933425,-0.017091354281280946,-0.02551544325917554,-0.1778745020386685,-0.3418270856256189,false,false,true,true,false,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,T,fragment_rate,0.6399270738377393,0.5343560242889102,0.4547756874095514,0.3830314088361788,0.3274028845141594,-0.10557104954882912,-0.07958033687935878,-0.07174427857337257,-0.055628524322019424,-1.5916067375871756,-1.4348855714674513,false,true,false,false,true,false,material_constraint|unstable_response,0.25996512658059967,1,4
120,V,confirmed_coverage,0.0009489964362686459,0.0013460765240757898,0.0018361832362276892,0.0023244169290974792,0.002851359687130859,0.0003970800878071439,0.0004901067121518994,0.00048823369286979,0.0005269427580333799,0.009802134243037988,0.0097646738573958,true,false,false,false,true,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,confirmed_intervals,746.0,1052.0,1426.0,1769.0,2179.0,306.0,374.0,343.0,410.0,7480.0,6860.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,unique_securities,455.0,539.0,617.0,669.0,704.0,84.0,78.0,52.0,35.0,1560.0,1040.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,baseline_retention,0.5168310098605916,0.7330839850391023,1.0,1.0,1.0,0.21625297517851072,0.2669160149608977,0.0,0.0,5.338320299217953,0.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,affected_delta,0.05614133416938133,0.08229093440537547,0.11200816659020582,0.13762161183620022,0.16721966904119917,0.026149600235994136,0.029717232184830356,0.025613445245994404,0.029598057204998945,0.5943446436966071,0.5122689049198881,true,false,false,false,true,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,affected_lift,1.6006240694543585,1.6378678625705347,1.6755455792284848,1.6697246425650767,1.6757431084181913,0.037243793116176205,0.037677716657950056,-0.005820936663408105,0.006018465853114607,0.7535543331590011,-0.1164187332681621,false,false,true,true,false,false,material_constraint|unstable_response,0.2579042455592688,4,4
120,V,fragment_rate,0.5067024128686327,0.5038022813688213,0.49719495091164095,0.48049745618993783,0.49105094079853145,-0.002900131499811387,-0.0066073304571803715,-0.01669749472170312,0.010553484608593622,-0.13214660914360743,-0.3339498944340624,false,false,false,true,true,true,material_constraint|unstable_response,0.2579042455592688,4,4
250,P,confirmed_coverage,0.004323642251077431,0.005822973892549501,0.007218334329783576,0.00846292880093963,0.009658128669174728,0.0014993316414720695,0.0013953604372340753,0.0012445944711560542,0.0011951998682350976,0.027907208744681507,0.024891889423121084,true,false,false,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,confirmed_intervals,2961.0,3950.0,4884.0,5686.0,6428.0,989.0,934.0,802.0,742.0,18680.0,16040.0,true,false,false,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,unique_securities,747.0,768.0,773.0,777.0,778.0,21.0,5.0,4.0,1.0,100.0,80.0,true,false,true,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,baseline_retention,0.6010687304219643,0.8080891837110743,1.0,1.0,1.0,0.20702045328911,0.1919108162889257,0.0,0.0,3.838216325778514,0.0,true,false,false,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,affected_delta,0.2889148508816973,0.26926877168715146,0.24910224727970684,0.23087767428482,0.21245266798270454,-0.019646079194545862,-0.020166524407444625,-0.018224572994886834,-0.018425006302115465,-0.4033304881488925,-0.3644914598977367,false,true,false,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,affected_lift,2.3637603089572194,2.271025224726044,2.1758334909935626,2.0898083205245745,2.0028370478107305,-0.0927350842311756,-0.09519173373248124,-0.08602517046898805,-0.08697127271384408,-1.9038346746496249,-1.720503409379761,false,true,false,false,true,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,P,fragment_rate,0.45829111786558596,0.4539240506329114,0.4606879606879607,0.4579669363348575,0.4567517112632234,-0.0043670672326745485,0.0067639100550492826,-0.002721024353103174,-0.0012152250716341295,0.13527820110098565,-0.05442048706206348,false,false,true,true,false,false,dominant_bottleneck|material_constraint|unstable_response,0.31083337465323113,2,3
250,C,confirmed_coverage,0.00485345531037042,0.006111044237735516,0.007218334329783576,0.008068919331422897,0.008874281674648245,0.0012575889273650958,0.0011072900920480605,0.0008505850016393207,0.0008053623432253479,0.02214580184096121,0.017011700032786414,true,false,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,C,confirmed_intervals,3323.0,4138.0,4884.0,5432.0,5937.0,815.0,746.0,548.0,505.0,14920.0,10960.0,true,false,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,C,unique_securities,755.0,766.0,773.0,775.0,778.0,11.0,7.0,2.0,3.0,140.0,40.0,true,false,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,C,baseline_retention,0.6723788465081998,0.8466003316749585,1.0,1.0,1.0,0.17422148516675873,0.15339966832504148,0.0,0.0,3.0679933665008297,0.0,true,false,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
