candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,profile_type,step_id,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,lift,delta,delta_nonanchor,evaluable_securities,security_median_delta,security_q25_delta,security_q75_delta,security_median_lift
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,28182,64227,211647,1259502,92409,239829,28182,0.3049702951011265,0.15338669879850955,0.14386510135954958,1.988244727150291,0.15158359630261695,0.16110519374157692,,,,,
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,7342,20091,248831,1268771,27433,256173,7342,0.26763387161447894,0.16580401091237415,0.16396327890975368,1.6141580058393215,0.10182986070210479,0.10367059270472526,,,,,
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,92409,228301,116165,1126683,,,,,,,,,,793,0.15520071752227543,0.11691812446653965,0.19219853799373424,2.170879282123844
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,28182,64227,211647,1259502,,,,,,,,,,791,0.15141252328810764,0.10253081923602683,0.19826884402552492,1.9884453781512605
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,7342,20091,248831,1268771,,,,,,,,,,787,0.08576998050682261,-0.0278865706052542,0.2040487706728116,1.5297249334516414
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,120598,200112,165877,1076971,320710,286475,120598,0.3760344236225874,0.18321993811550322,0.1334652346867839,2.0523662844244193,0.19281448550708416,0.24256918893580348,,,,,
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,34668,85930,205161,1237799,120598,239829,34668,0.28746745385495615,0.15338669879850955,0.14218065642845262,1.8741354765876834,0.1340807550564466,0.14528679742650352,,,,,
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,9146,24604,247027,1264258,33750,256173,9146,0.2709925925925926,0.16580401091237415,0.1634549406630781,1.634415181523019,0.10518858168021847,0.1075376519295145,,,,,
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,120598,200112,165877,1076971,,,,,,,,,,793,0.19235409973183684,0.1488746385011945,0.23680553936539758,2.049316170555109
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,34668,85930,205161,1237799,,,,,,,,,,791,0.13323088237057407,0.09221143162259687,0.17371341188995987,1.880840902706246
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,9146,24604,247027,1264258,,,,,,,,,,789,0.09476566032049027,-0.010488582049920342,0.1929433611884865,1.5689922480620155
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,166082,154628,267526,975322,320710,433608,166082,0.5178572542172055,0.2773213401741413,0.21525238806354438,1.8673545061192263,0.24053591404306424,0.3026048661536611,,,,,
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,43990,122092,195839,1201637,166082,239829,43990,0.2648691610168471,0.15338669879850955,0.1401376481599684,1.7268065816109788,0.11148246221833755,0.1247315128568787,,,,,
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,12177,30679,243996,1258183,42856,256173,12177,0.2841375770020534,0.16580401091237415,0.16242804619156573,1.7136954373933535,0.11833356608967924,0.12170953081048766,,,,,
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,166082,154628,267526,975322,,,,,,,,,,793,0.24014496823709663,0.1922146194926569,0.2892495388832215,1.866400115265471
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,43990,122092,195839,1201637,,,,,,,,,,791,0.1117689592105823,0.08178896275735309,0.14326881627591675,1.7277372262773723
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,12177,30679,243996,1258183,,,,,,,,,,790,0.1102596277829008,0.015502122136869058,0.20869584260939356,1.6616924624285145
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,185235,135475,320346,922502,320710,505581,185235,0.5775778740918587,0.3233528912902495,0.2577515512757795,1.7862152764034218,0.25422498280160916,0.3198263228160792,,,,,
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,47687,137548,192142,1186181,185235,239829,47687,0.2574405484924555,0.15338669879850955,0.13940273796490374,1.678375964206859,0.10405384969394596,0.11803781052755177,,,,,
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,13442,33050,242731,1255812,46492,256173,13442,0.2891250107545384,0.16580401091237415,0.16197800129859471,1.7437757335516946,0.12332099984216424,0.12714700945594368,,,,,
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,185235,135475,320346,922502,,,,,,,,,,793,0.25373384933554477,0.2066556943445309,0.30309566803690396,1.7768448745128496
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,47687,137548,192142,1186181,,,,,,,,,,792,0.10423422148143423,0.07600039771656716,0.13440918078946648,1.677922160916954
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,13442,33050,242731,1255812,,,,,,,,,,790,0.11802051786569723,0.02302917366925672,0.20976740480132416,1.6931945843324743
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,14579,130454,72892,1345633,145033,87471,14579,0.1005219501768563,0.055943559496993395,0.05138577043055286,1.7968458046052418,0.04457839067986291,0.049136179746303445,,,,,
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,3956,10255,252217,1278607,14211,256173,3956,0.2783759059883189,0.16580401091237415,0.1647589794777192,1.678945548159495,0.11257189507594476,0.11361692651059971,,,,,
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,14579,130454,72892,1345633,,,,,,,,,,791,0.042416619819407794,0.02244540079686655,0.06433884159236078,1.7734765234765235
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,3956,10255,252217,1278607,,,,,,,,,,784,0.0962896268900319,-0.02559623785961796,0.22008866991982007,1.578042532907077
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,27069,117964,135238,1283287,145033,162307,27069,0.18664028186688547,0.10380619075211793,0.09533705785939621,1.7979687002730855,0.08283409111476754,0.09130322400748926,,,,,
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,7328,19053,248845,1269809,26381,256173,7328,0.2777756718850688,0.16580401091237415,0.1638589171727069,1.675325405920793,0.11197166097269465,0.1139167547123619,,,,,
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,27069,117964,135238,1283287,,,,,,,,,,791,0.08220799573205297,0.05212970376164343,0.11243889862939699,1.7881619937694704
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,7328,19053,248845,1269809,,,,,,,,,,788,0.09684546042483659,-0.005402403649248481,0.20811814352814245,1.5890476204895108
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,52420,92613,266502,1152023,145033,318922,52420,0.36143498376231614,0.20397196650204213,0.1878726141590737,1.7719836208898712,0.157463017260274,0.17356236960324245,,,,,
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,14286,36763,241887,1252099,51049,256173,14286,0.27984877274775216,0.16580401091237415,0.16190713969207207,1.6878287274705892,0.11404476183537801,0.11794163305568009,,,,,
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,52420,92613,266502,1152023,,,,,,,,,,791,0.1570875708092379,0.11480526349203292,0.19677122333741337,1.768823529411765
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,14286,36763,241887,1252099,,,,,,,,,,790,0.10059470126516128,0.012505816030530047,0.20237038427025586,1.6099096254543668
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,64711,80322,334741,1083784,145033,399452,64711,0.4461812139306227,0.25547629189323323,0.23597821680971431,1.7464681776306956,0.19070492203738948,0.2102029971209084,,,,,
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,17709,45289,238464,1243573,62998,256173,17709,0.28110416203689004,0.16580401091237415,0.16090286544802862,1.6954002529254308,0.11530015112451589,0.12020129658886142,,,,,
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
