candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,exact_day_intersection,exact_day_union,jaccard,baseline_retention,candidate_novelty,added_state_days,lost_state_days,same_security_overlap,confirmed_interval_overlap,candidate_confirmed_intervals,candidate_confirmed_state_days
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCT,8349,12480,0.6689903846153846,0.6689903846153846,0.0,0,4131,764,3162,3799,8349
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCVT,1907,2941,0.6484189051343081,0.6484189051343081,0.0,0,1034,529,810,965,1907
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCT,10644,12480,0.8528846153846154,0.8528846153846154,0.0,0,1836,771,4257,4779,10644
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCVT,2455,2941,0.8347500850051003,0.8347500850051003,0.0,0,486,578,1085,1211,2455
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCT,12480,13905,0.8975188781014024,1.0,0.1024811218985976,1425,0,777,5070,6111,13905
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCVT,2941,3339,0.8808026355196167,1.0,0.11919736448038332,398,0,617,1305,1611,3339
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCT,12480,15232,0.819327731092437,1.0,0.18067226890756305,2752,0,777,4983,6632,15232
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCVT,2941,3730,0.7884718498659518,1.0,0.21152815013404824,789,0,617,1283,1789,3730
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCT,1753,12480,0.1404647435897436,0.1404647435897436,0.0,0,10727,555,236,1097,1753
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCVT,434,2941,0.14756885413124787,0.14756885413124787,0.0,0,2507,228,91,278,434
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCT,6016,12480,0.48205128205128206,0.48205128205128206,0.0,0,6464,758,1650,3129,6016
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCVT,1404,2941,0.4773886433185991,0.4773886433185991,0.0,0,1537,480,455,776,1404
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCT,12480,20479,0.609404756091606,1.0,0.39059524390839395,7999,0,777,2963,7673,20479
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCVT,2941,4799,0.6128360075015629,1.0,0.38716399249843714,1858,0,617,841,2037,4799
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCT,12480,29515,0.42283584617990855,1.0,0.5771641538200915,17035,0,777,1637,9499,29515
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCVT,2941,6988,0.4208643388666285,1.0,0.5791356611333716,4047,0,617,517,2632,6988
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCT,12480,12480,1.0,1.0,0.0,0,0,777,5528,5528,12480
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCVT,1520,2941,0.5168310098605916,0.5168310098605916,0.0,0,1421,455,625,746,1520
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCT,12480,12480,1.0,1.0,0.0,0,0,777,5528,5528,12480
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCVT,2156,2941,0.7330839850391023,0.7330839850391023,0.0,0,785,539,930,1052,2156
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCT,12480,12480,1.0,1.0,0.0,0,0,777,5528,5528,12480
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCVT,2941,3723,0.7899543378995434,1.0,0.2100456621004566,782,0,617,1264,1769,3723
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCT,12480,12480,1.0,1.0,0.0,0,0,777,5528,5528,12480
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCVT,2941,4567,0.6439675936063061,1.0,0.35603240639369393,1626,0,617,1234,2179,4567
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,10854,10854,1.0,1.0,0.0,0,0,773,4884,,
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,2143,2143,1.0,1.0,0.0,0,0,520,1024,,
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCT,6524,10854,0.6010687304219643,0.6010687304219643,0.0,0,4330,747,2622,2961,6524
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCVT,1637,2143,0.7638824078394774,0.7638824078394774,0.0,0,506,455,725,779,1637
