candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,total_rows,valid_rows,unknown_rows,blocked_rows,diagnostic_required_rows,raw_state_days,confirmed_state_days,unique_securities,raw_coverage,confirmed_coverage,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals,nonzero_years,max_year_share,year_HHI,effective_years
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,166082,125163,791,0.10362431148813402,0.07809353029701784,15302,125163,8.179519017121946,6.0,3.0,11.0,19.0,0.13481897791138414,0,665,11,0.17511564919345174,0.11554819903291576,8.654397111937106
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,43990,13905,777,0.027446884444810485,0.008675811052627639,6111,13905,2.27540500736377,2.0,1.0,3.0,5.0,0.4491899852724595,0,37,11,0.17684286227975549,0.11472207320414468,8.716718344346239
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCVT,1730769,1601598,127515,1656,0,12177,3339,644,0.007603031472317024,0.0020847928131778387,1611,3339,2.0726256983240225,2.0,1.0,3.0,4.0,0.49906890130353815,0,7,11,0.17160826594788858,0.1159481711279504,8.6245431063892
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,185235,141796,792,0.11557453148748512,0.08847143502469533,16359,141796,8.667766978421664,6.0,3.0,12.0,20.0,0.1305091998288404,0,764,11,0.17437727439420012,0.11551232199595146,8.6570850859967
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,47687,15232,779,0.02975357077789674,0.009503772308782753,6632,15232,2.296743063932449,2.0,1.0,3.0,5.0,0.4455669481302774,0,45,11,0.17745535714285715,0.11452946872682895,8.731377270116912
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCVT,1730769,1601537,127574,1658,0,13442,3730,670,0.008393187294455264,0.002329012692182572,1789,3730,2.0849636668529903,2.0,1.0,3.0,4.0,0.4991615427613192,0,10,11,0.16836461126005361,0.11504301763111932,8.692400639267467
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,14579,1753,555,0.009096342994337168,0.0010937574092237505,1097,1753,1.5979945305378305,1.0,1.0,2.0,3.0,0.6399270738377393,0,2,11,0.18254420992584142,0.11523591372495168,8.677850226335066
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCVT,1730769,1602364,126777,1628,0,3956,434,228,0.0024688522707699374,0.00027084981939184857,278,434,1.5611510791366907,1.0,1.0,2.0,3.0,0.6294964028776978,0,0,11,0.21658986175115208,0.12375501709528765,8.08048048048048
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,27069,6016,758,0.01688928654322744,0.003753590743804953,3129,6016,1.9226589964844998,1.0,1.0,2.0,4.0,0.5343560242889102,0,13,11,0.1778590425531915,0.11459694582178022,8.726236051309673
