gate_id,candidate_cell_id,state_line,metric_id,operator,threshold,observed_value,status,evidence_check_id,fail_closed,zero_tolerance
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d2__g2,S_PCT,unique_securities,>=,155.0,734.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d3__g0,S_PCT,unique_securities,>=,155.0,637.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d3__g1,S_PCT,unique_securities,>=,155.0,637.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_q20_shared__d3__g2,S_PCT,unique_securities,>=,155.0,637.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d1__g0,S_PCT,unique_securities,>=,157.0,782.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d1__g1,S_PCT,unique_securities,>=,157.0,782.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d1__g2,S_PCT,unique_securities,>=,157.0,782.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d2__g0,S_PCT,unique_securities,>=,157.0,772.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d2__g1,S_PCT,unique_securities,>=,157.0,772.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d2__g2,S_PCT,unique_securities,>=,157.0,772.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d3__g0,S_PCT,unique_securities,>=,157.0,747.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d3__g1,S_PCT,unique_securities,>=,157.0,747.0,passed,s_pct_unique_securities,True,False
s_pct_unique_securities,r2_s_pct_w250_qt25_primary__d3__g2,S_PCT,unique_securities,>=,157.0,747.0,passed,s_pct_unique_securities,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d1__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d1__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d1__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d2__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7986534145559474,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d2__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7986534145559474,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d2__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7986534145559474,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d3__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5852837447899968,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d3__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5852837447899968,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_q20_shared__d3__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5852837447899968,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d1__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d1__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d1__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d2__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8565009280062519,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d2__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8565009280062519,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d2__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8565009280062519,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d3__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6834033408225066,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d3__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6834033408225066,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w120_qt25_primary__d3__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6834033408225066,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d1__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d1__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d1__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d2__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7927761909149544,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d2__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7927761909149544,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d2__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.7927761909149544,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d3__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5731134248594859,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d3__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5731134248594859,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_q20_shared__d3__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.5731134248594859,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d1__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d1__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d1__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,1.0,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d2__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8563243479209866,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d2__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8563243479209866,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d2__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.8563243479209866,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d3__g0,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6727600130961475,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d3__g1,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6727600130961475,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_retained_confirmed_day_ratio,r2_s_pct_w250_qt25_primary__d3__g2,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.6727600130961475,passed,s_pct_retained_confirmed_day_ratio,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d1__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d1__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d1__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d2__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.45472654835204634,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d2__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.45472654835204634,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d2__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.45472654835204634,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d3__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.6955813111191598,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d3__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.6955813111191598,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_q20_shared__d3__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.6955813111191598,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d1__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d1__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d1__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d2__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.38290932811480755,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d2__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.38290932811480755,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d2__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.38290932811480755,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d3__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.6140900195694716,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d3__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.6140900195694716,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w120_qt25_primary__d3__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.6140900195694716,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d1__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d1__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d1__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d2__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.46046702171241294,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d2__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.46046702171241294,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d2__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.46046702171241294,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d3__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.7046292503072511,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d3__g1,S_PCT,short_interval_drop_rate,<=,0.8,0.7046292503072511,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_q20_shared__d3__g2,S_PCT,short_interval_drop_rate,<=,0.8,0.7046292503072511,passed,s_pct_short_interval_drop_rate,True,False
s_pct_short_interval_drop_rate,r2_s_pct_w250_qt25_primary__d1__g0,S_PCT,short_interval_drop_rate,<=,0.8,0.0,passed,s_pct_short_interval_drop_rate,True,False
