candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error,state_line,W,candidate_role,objective_values,hard_gate_status,warning_count,complexity,baseline_distance,pareto_status,decision_unit
r2_s_pct_w250_q20_shared__d1__g2,r2_s_pct_w250_q20_shared,1,2,completed,800,4883,4556,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":4556.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.03834931221342226,""merge_ratio"":0.06628621597892889,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.9047936640266778,""mega_zone_concentration"":0.05844101709045436,""max_single_gap"":2.0}",passed,0,1,3,dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d2__g0,r2_s_pct_w250_q20_shared,2,0,completed,800,4883,2634,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":2634.0,""retained_confirmed_day_ratio"":0.7927761909149544,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1666666666666667,""component_qualification_rate"":0.5395329782875871,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":1.0,""mega_zone_concentration"":0.036378428637842866,""max_single_gap"":0.0}",passed,0,1,2,non_dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d2__g1,r2_s_pct_w250_q20_shared,2,1,completed,800,4883,2572,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":2572.0,""retained_confirmed_day_ratio"":0.7927761909149544,""bridged_day_ratio"":0.007053469852104664,""merge_ratio"":0.02332814930015552,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":0.5395329782875871,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.978839590443686,""mega_zone_concentration"":0.040386803185438,""max_single_gap"":1.0}",passed,0,1,3,dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d2__g2,r2_s_pct_w250_q20_shared,2,2,completed,800,4883,2525,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":2525.0,""retained_confirmed_day_ratio"":0.7927761909149544,""bridged_day_ratio"":0.01736033830402849,""merge_ratio"":0.040792079207920794,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":0.5395329782875871,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.9574894279991097,""mega_zone_concentration"":0.045292677498330734,""max_single_gap"":2.0}",passed,0,1,4,dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d3__g0,r2_s_pct_w250_q20_shared,3,0,completed,800,4883,1442,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":1442.0,""retained_confirmed_day_ratio"":0.5731134248594859,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.3333333333333333,""component_qualification_rate"":0.29537074969274885,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":1.0,""mega_zone_concentration"":0.030385852090032153,""max_single_gap"":0.0}",passed,0,1,3,non_dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d3__g1,r2_s_pct_w250_q20_shared,3,1,completed,800,4883,1420,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":1420.0,""retained_confirmed_day_ratio"":0.5731134248594859,""bridged_day_ratio"":0.0034998409163219855,""merge_ratio"":0.015492957746478873,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5,""component_qualification_rate"":0.29537074969274885,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.9895004772510341,""mega_zone_concentration"":0.033884823417117405,""max_single_gap"":1.0}",passed,0,1,4,dominated,S_PCT×W250
r2_s_pct_w250_q20_shared__d3__g2,r2_s_pct_w250_q20_shared,3,2,completed,800,4883,1403,,S_PCT,250,strict_core_reference,"{""qualified_event_count"":1403.0,""retained_confirmed_day_ratio"":0.5731134248594859,""bridged_day_ratio"":0.008811959087332809,""merge_ratio"":0.027797576621525304,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5,""component_qualification_rate"":0.29537074969274885,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.4605775138234692,""confirmed_density"":0.978756884343037,""mega_zone_concentration"":0.036349331235247834,""max_single_gap"":2.0}",passed,0,1,5,dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary,1,0,completed,800,6957,6957,,S_PCT,250,primary,"{""qualified_event_count"":6957.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.0,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":1.0,""mega_zone_concentration"":0.04752810214995089,""max_single_gap"":0.0}",passed,4,2,1,non_dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary,1,1,completed,800,6957,6556,,S_PCT,250,primary,"{""qualified_event_count"":6556.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.02053356546674177,""merge_ratio"":0.056894447834045146,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1428571428571428,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.9383993035997747,""mega_zone_concentration"":0.05340775257309642,""max_single_gap"":1.0}",passed,4,2,2,dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary,1,2,completed,800,6957,6296,,S_PCT,250,primary,"{""qualified_event_count"":6296.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.04465021573665584,""merge_ratio"":0.09339263024142312,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4285714285714286,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.8884471808794299,""mega_zone_concentration"":0.05652785184466961,""max_single_gap"":2.0}",passed,4,2,3,dominated,S_PCT×W250
