candidate_cell_id,qualified_event_count,natural_finalized_zone_count,quality_break_zone_count,right_censored_zone_count,component_count_mean,component_count_median,component_count_q90,component_count_q95,component_count_max,bridge_count_mean,bridge_count_median,bridge_count_q90,bridge_count_q95,bridge_count_max,zone_span_days_sum,duration_mean,duration_median,duration_q90,duration_q95,max_zone_span,confirmed_density,bridged_gap_count,bridged_day_count,raw_false_bridged_day_count,preconfirmation_gap_day_count,total_nonconfirmed_gap_day_count,bridged_day_ratio,raw_false_bridged_day_ratio,nonconfirmed_gap_ratio,max_single_gap,merge_ratio,zone_revision_count,top_zone_confirmed_day_share,open_event_ratio,mega_zone_concentration,active_zone_count,gap_pending_zone_count,reentry_pending_zone_count,confirmed_event_coverage,zone_span_coverage,events_per_security_mean,events_per_security_median,events_per_security_q90,events_per_security_max,events_per_year,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w120_qt25_primary__d1__g1,7236,7226,10,0,1.0601160862354893,1.0,1,2,4,0.06011608623548922,0.0,0,1,3,21779,3.009812050856827,2.0,6,9,24,0.9400798934753661,435,435,435,870,1305,0.019973368841544607,0.019973368841544607,0.05992010652463382,1,0.0562465450525152,435,0.000976848686138517,0.0,0.05349189586298728,0,0,0,0.012774437647716524,0.013588672341976075,9.241379310344827,9.0,14,22,657.8181818181819,11,0.16487009397457159,1.2857142857142858
r2_s_pct_w120_qt25_primary__d1__g2,6997,6985,12,0,1.0963269972845506,1.0,1,2,4,0.09632699728455052,0.0,0,1,3,22784,3.25625267971988,2.0,7,10,27,0.8986130617977528,674,913,913,1397,2310,0.04007198033707865,0.04007198033707865,0.10138693820224719,2,0.08732313848792339,674,0.000976848686138517,0.0,0.0547313904494382,0,0,0,0.012774437647716524,0.014215726646750674,8.936143039591315,9.0,13,21,636.0909090909091,11,0.16278405030727455,1.4285714285714286
r2_s_pct_w120_qt25_primary__d2__g0,4733,4730,3,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,17536,3.7050496513839004,3.0,7,8,20,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0011405109489051094,0.0,0.038720346715328466,0,0,0,0.010941317700027204,0.010941317700027204,6.138780804150454,6.0,10,19,430.27272727272725,11,0.17282907246989224,1.1428571428571428
r2_s_pct_w120_qt25_primary__d2__g1,4561,4555,6,0,1.037711028283271,1.0,1,1,3,0.03771102828327121,0.0,0,0,2,18052,3.9579039684279764,3.0,7,9,24,0.9714159095945047,172,172,172,344,516,0.009528030135165079,0.009528030135165079,0.028584090405495238,1,0.03683402762552072,172,0.0011405109489051094,0.0,0.04221138931974296,0,0,0,0.010941317700027204,0.011263267969941326,5.915693904020753,6.0,9,19,414.6363636363636,11,0.17123437842578382,1.2857142857142858
r2_s_pct_w120_qt25_primary__d2__g2,4472,4464,8,0,1.0583631484794276,1.0,1,2,3,0.05836314847942755,0.0,0,1,2,18421,4.119186046511628,3.0,8,10,24,0.9519570055914446,261,350,350,535,885,0.01900005428586939,0.01900005428586939,0.04804299440855545,2,0.05635062611806798,261,0.0011405109489051094,0.0,0.04424298355138157,0,0,0,0.010941317700027204,0.01149349984900782,5.800259403372244,6.0,9,18,406.54545454545456,11,0.16949910554561717,1.4285714285714286
r2_s_pct_w120_qt25_primary__d3__g0,2961,2958,3,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,13992,4.725430597771023,4.0,8,9,20,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.001429388221841052,0.0,0.03230417381360778,0,0,0,0.008730093365578276,0.008730093365578276,3.9375,4.0,7,12,269.1818181818182,11,0.18000675447483958,1.2857142857142858
r2_s_pct_w120_qt25_primary__d3__g1,2874,2868,6,0,1.0302713987473904,1.0,1,1,3,0.030271398747390398,0.0,0,0,2,14253,4.95929018789144,4.0,8,11,24,0.9816880656703851,87,87,87,174,261,0.006103978109871606,0.006103978109871606,0.018311934329614817,1,0.029575504523312455,87,0.001429388221841052,0.0,0.035150494632708904,0,0,0,0.008730093365578276,0.008892940304430186,3.8218085106382977,4.0,6,12,261.27272727272725,11,0.17884481558803061,1.5714285714285714
r2_s_pct_w120_qt25_primary__d3__g2,2831,2823,8,0,1.0459201695513953,1.0,1,1,3,0.045920169551395267,0.0,0,0,2,14435,5.098904980572236,4.0,9,11,24,0.9693107031520609,130,173,173,270,443,0.01198475926567371,0.01198475926567371,0.030689296847939036,2,0.04486047333097845,130,0.001429388221841052,0.0,0.037062694838933145,0,0,0,0.008730093365578276,0.009006496407384391,3.764627659574468,4.0,6,12,257.3636363636364,11,0.17802896503002472,1.5714285714285714
r2_s_pct_w250_q20_shared__d1__g0,4883,4882,1,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,10853,2.22260905181241,2.0,4,6,21,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0019349488620657882,0.0,0.047268036487607114,0,0,0,0.007217669290689253,0.007217669290689253,6.316946959896507,6.0,10,16,488.3,10,0.21626049559696908,1.0
r2_s_pct_w250_q20_shared__d1__g1,4689,4684,5,0,1.0413734271699722,1.0,1,1,4,0.04137342716997228,0.0,0,0,3,11435,2.438686287054809,2.0,5,7,21,0.9491036292085702,194,194,194,388,582,0.016965456930476606,0.016965456930476606,0.05089637079142982,1,0.03860098101940712,194,0.0019349488620657882,0.0,0.053957149103629205,0,0,0,0.007217669290689253,0.007604722043585332,6.0659767141009056,6.0,10,15,468.9,10,0.21667732992109193,1.1666666666666667
r2_s_pct_w250_q20_shared__d1__g2,4556,4551,5,0,1.0717734855136085,1.0,1,2,4,0.07177348551360843,0.0,0,1,3,11995,2.632791922739245,2.0,6,8,21,0.9047936640266778,327,460,460,682,1142,0.03834931221342226,0.03834931221342226,0.09520633597332222,2,0.06628621597892889,327,0.0019349488620657882,0.0,0.05844101709045436,0,0,0,0.007217669290689253,0.007977143936406302,5.893919793014231,6.0,9,14,455.6,10,0.21597892888498682,1.3333333333333333
r2_s_pct_w250_q20_shared__d2__g0,2634,2634,0,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,8604,3.266514806378132,3.0,5,7,21,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0024407252440725243,0.0,0.036378428637842866,0,0,0,0.005721996367556467,0.005721996367556467,3.5885558583106265,3.0,6,11,263.4,10,0.21829916476841307,1.1666666666666667
r2_s_pct_w250_q20_shared__d2__g1,2572,2568,4,0,1.0241057542768273,1.0,1,1,3,0.02410575427682737,0.0,0,0,2,8790,3.4175738724727838,3.0,6,8,21,0.978839590443686,62,62,62,124,186,0.007053469852104664,0.007053469852104664,0.021160409556313993,1,0.02332814930015552,62,0.0024407252440725243,0.0,0.040386803185438,0,0,0,0.005721996367556467,0.0058456936391005744,3.5040871934604905,3.0,6,11,257.2,10,0.2192846034214619,1.3333333333333333
r2_s_pct_w250_q20_shared__d2__g2,2525,2521,4,0,1.0431683168316832,1.0,1,1,3,0.043168316831683165,0.0,0,0,2,8986,3.558811881188119,3.0,6,8,21,0.9574894279991097,109,156,156,226,382,0.01736033830402849,0.01736033830402849,0.04251057200089027,2,0.040792079207920794,109,0.0024407252440725243,0.0,0.045292677498330734,0,0,0,0.005721996367556467,0.005976041301587914,3.4400544959128063,3.0,6,10,252.5,10,0.21821782178217822,1.3333333333333333
r2_s_pct_w250_q20_shared__d3__g0,1442,1442,0,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,6220,4.3134535367545075,4.0,7,8,21,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0033762057877813503,0.0,0.030385852090032153,0,0,0,0.004136543166690054,0.004136543166690054,2.2637362637362637,2.0,4,7,144.2,10,0.22676837725381416,1.3333333333333333
r2_s_pct_w250_q20_shared__d3__g1,1420,1417,3,0,1.0154929577464789,1.0,1,1,2,0.015492957746478873,0.0,0,0,1,6286,4.426760563380282,4.0,7,9,21,0.9895004772510341,22,22,22,44,66,0.0034998409163219855,0.0034998409163219855,0.010499522748965956,1,0.015492957746478873,22,0.0033762057877813503,0.0,0.033884823417117405,0,0,0,0.004136543166690054,0.0041804357469153825,2.229199372056515,2.0,4,7,142.0,10,0.223943661971831,1.5
r2_s_pct_w250_q20_shared__d3__g2,1403,1400,3,0,1.0277975766215253,1.0,1,1,2,0.027797576621525304,0.0,0,0,1,6355,4.529579472558803,4.0,7,9,21,0.978756884343037,39,56,56,79,135,0.008811959087332809,0.008811959087332809,0.021243115656963022,2,0.027797576621525304,39,0.0033762057877813503,0.0,0.036349331235247834,0,0,0,0.004136543166690054,0.004226323444423681,2.2025117739403455,2.0,4,7,140.3,10,0.22380612972202424,1.5
r2_s_pct_w250_qt25_primary__d1__g0,6957,6956,1,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,18326,2.6341814000287482,2.0,5,7,22,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0012004801920768306,0.0,0.04752810214995089,0,0,0,0.012187506442566226,0.012187506442566226,8.896419437340153,9.0,13,19,695.7,10,0.21072301279287048,1.0
r2_s_pct_w250_qt25_primary__d1__g1,6556,6550,6,0,1.0611653447223917,1.0,1,2,4,0.061165344722391705,0.0,0,1,3,19529,2.978798047589994,2.0,6,8,28,0.9383993035997747,401,401,401,802,1203,0.02053356546674177,0.02053356546674177,0.06160069640022531,1,0.056894447834045146,401,0.0012004801920768306,0.0,0.05340775257309642,0,0,0,0.012187506442566226,0.012987548473036988,8.383631713554987,8.0,13,18,655.6,10,0.212019524100061,1.1428571428571428
r2_s_pct_w250_qt25_primary__d1__g2,6296,6289,7,0,1.104987293519695,1.0,1,2,4,0.10498729351969505,0.0,0,1,3,20627,3.2762071156289707,2.0,7,10,28,0.8884471808794299,661,921,921,1380,2301,0.04465021573665584,0.04465021573665584,0.11155281912057012,2,0.09339263024142312,661,0.0012004801920768306,0.0,0.05652785184466961,0,0,0,0.012187506442566226,0.013717761398603817,8.051150895140665,8.0,12,17,629.6,10,0.2136277001270648,1.4285714285714286
r2_s_pct_w250_qt25_primary__d2__g0,4324,4324,0,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,15693,3.629278445883441,3.0,6,8,22,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0014018989358312623,0.0,0.03715032179952845,0,0,0,0.010436458507213347,0.010436458507213347,5.601036269430052,5.0,9,14,432.4,10,0.21808510638297873,1.1428571428571428
r2_s_pct_w250_qt25_primary__d2__g1,4163,4159,4,0,1.0386740331491713,1.0,1,1,3,0.03867403314917127,0.0,0,0,2,16176,3.885659380254624,3.0,7,9,22,0.9701409495548962,161,161,161,322,483,0.00995301681503462,0.00995301681503462,0.029859050445103858,1,0.03699255344703339,161,0.0014018989358312623,0.0,0.04228486646884273,0,0,0,0.010436458507213347,0.010757672389771433,5.392487046632124,5.0,9,13,416.3,10,0.2159500360317079,1.2857142857142858
r2_s_pct_w250_qt25_primary__d2__g2,4056,4051,5,0,1.0660749506903353,1.0,1,2,4,0.06607495069033531,0.0,0,1,3,16632,4.100591715976331,3.0,8,11,24,0.9435425685425686,268,375,375,564,939,0.022546897546897548,0.022546897546897548,0.056457431457431456,2,0.060650887573964495,268,0.0014018989358312623,0.0,0.04563492063492063,0,0,0,0.010436458507213347,0.011060930216782793,5.253886010362694,5.0,8,13,405.6,10,0.21572978303747534,1.5714285714285714
r2_s_pct_w250_qt25_primary__d3__g0,2642,2642,0,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,12329,4.666540499621499,4.0,8,9,22,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.001784410738908265,0.0,0.03074053045664693,0,0,0,0.008199266993910237,0.008199266993910237,3.536813922356091,3.0,6,11,264.2,10,0.23467070401211204,1.2857142857142858
r2_s_pct_w250_qt25_primary__d3__g1,2574,2571,3,0,1.0264180264180265,1.0,1,1,3,0.02641802641802642,0.0,0,0,2,12533,4.869075369075369,4.0,8,10,22,0.9837229713556211,68,68,68,136,204,0.005425676214792946,0.005425676214792946,0.01627702864437884,1,0.025252525252525252,68,0.001784410738908265,0.0,0.03566584217665363,0,0,0,0.008199266993910237,0.008334934969152162,3.4457831325301207,3.0,6,10,257.4,10,0.23232323232323232,1.4285714285714286
r2_s_pct_w250_qt25_primary__d3__g2,2531,2527,4,0,1.0438561833267483,1.0,1,1,3,0.04385618332674832,0.0,0,0,2,12713,5.022915843540103,4.0,9,11,24,0.9697946983402816,111,154,154,230,384,0.0121135845197829,0.0121135845197829,0.0302053016597184,2,0.04148557882259976,111,0.001784410738908265,0.0,0.038149925273342246,0,0,0,0.008199266993910237,0.00845464200613033,3.388219544846051,3.0,6,9,253.1,10,0.23231924140655869,1.5714285714285714
r2_s_pcvt_w120_q20_shared__d1__g0,1425,1424,1,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,2939,2.062456140350877,2.0,4,5,13,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.004423273222184417,0.0,0.048315753657706705,0,0,0,0.0018349345567062832,0.0018349345567062832,2.3095623987034037,2.0,4,10,129.54545454545453,11,0.14666666666666667,1.0
