candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g1,duration_q95_ratio,1.1666666666666667,1.1666666666666667,passed
r2_s_pct_w120_q20_shared__d1__g1,unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,qualified_component_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g1,unqualified_component_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,raw_false_bridged_day_count,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,preconfirmation_gap_day_count,514,514,passed
r2_s_pct_w120_q20_shared__d1__g1,total_nonconfirmed_gap_day_count,771,771,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_qualification,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_unqualified_close,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_event_creation,5268,5268,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_event_terminal,5268,5268,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_accepted_bridge_paths,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_rejected_reentry_paths,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,transition_event_entity_discontinuity_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_interval_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_duration_mean,2.2580995475113124,2.2580995475113124,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_duration_median,2.0,2.0,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_duration_q90,4,4,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_duration_q95,6,6,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_singleton_count,2512,2512,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_fragment_rate,0.4546606334841629,0.4546606334841629,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_natural_exit_count,5522,5522,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_quality_interruption_count,3,3,passed
r2_s_pct_w120_q20_shared__d1__g1,atomic_diag_right_censored_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_qualified_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_unqualified_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_qualification_rate,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_qualified_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_retrospective_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_asof_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_prequalification_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_prequalification_right_censored,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_delay_mean,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_delay_median,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_delay_q90,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_delay_q95,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,component_diag_unqualified_reentry_rate,,,passed
