candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pcvt_w120_qv30_primary__d1__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,0,2177,704,1.0,0.0,0.0,0.0,0.0,11,0.15296279283417547,1.0
r2_s_pcvt_w120_qv30_primary__d1__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,1,2102,704,1.0,0.0,0.015660889538525787,0.03377735490009515,0.0,11,0.1555661274976213,1.2
r2_s_pcvt_w120_qv30_primary__d1__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,2,2054,704,1.0,0.0,0.034254807692307696,0.05598831548198637,0.0,11,0.1572541382667965,1.4
r2_s_pcvt_w120_qv30_primary__d2__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,0,1108,579,0.7657756354075372,0.49126034958601655,0.0,0.0,0.0,11,0.15162454873646208,1.2
r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,1,1086,579,0.7657756354075372,0.49126034958601655,0.006178039876439202,0.019337016574585635,0.0,11,0.15377532228360957,1.4
r2_s_pcvt_w120_qv30_primary__d2__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,2,1074,579,0.7657756354075372,0.49126034958601655,0.012728278915329275,0.0297951582867784,0.0,11,0.15363128491620112,1.6
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,0,580,390,0.5343996494303243,0.733670653173873,0.0,0.0,0.0,11,0.1706896551724138,1.6
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,1,573,390,0.5343996494303243,0.733670653173873,0.002845528455284553,0.012216404886561954,0.0,11,0.17102966841186737,1.8
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,2,570,390,0.5343996494303243,0.733670653173873,0.005254648342764754,0.017543859649122806,0.0,11,0.17017543859649123,1.8
r2_s_pcvt_w250_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,0,1023,520,1.0,0.0,0.0,0.0,0.0,10,0.22287390029325513,1.0
r2_s_pcvt_w250_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,1,1002,520,1.0,0.0,0.009523809523809525,0.01996007984031936,0.0,10,0.22355289421157684,1.2
r2_s_pcvt_w250_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,2,984,520,1.0,0.0,0.025010969723562967,0.037601626016260166,0.0,10,0.22560975609756098,1.2
r2_s_pcvt_w250_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,0,532,358,0.7707749766573296,0.47996089931573804,0.0,0.0,0.0,10,0.21804511278195488,1.2
r2_s_pcvt_w250_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,1,525,358,0.7707749766573296,0.47996089931573804,0.004186602870813397,0.013333333333333334,0.0,10,0.21904761904761905,1.4
r2_s_pcvt_w250_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,2,519,358,0.7707749766573296,0.47996089931573804,0.011202830188679245,0.023121387283236993,0.0,10,0.21965317919075145,1.4
r2_s_pcvt_w250_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,0,275,226,0.530812324929972,0.7311827956989247,0.0,0.0,0.0,10,0.2109090909090909,1.4
r2_s_pcvt_w250_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,1,273,226,0.530812324929972,0.7311827956989247,0.0017497812773403325,0.007326007326007326,0.0,10,0.2087912087912088,1.6
r2_s_pcvt_w250_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,2,272,226,0.530812324929972,0.7311827956989247,0.0034873583260680036,0.011029411764705883,0.0,10,0.20955882352941177,1.6
r2_s_pcvt_w250_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,0,1673,640,1.0,0.0,0.0,0.0,0.0,10,0.21398684997011358,1.0
r2_s_pcvt_w250_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,1,1624,640,1.0,0.0,0.013112122023013113,0.02894088669950739,0.0,10,0.21428571428571427,1.2
r2_s_pcvt_w250_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,2,1591,640,1.0,0.0,0.02968508002065049,0.04902576995600252,0.0,10,0.21558768070395978,1.4
r2_s_pcvt_w250_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,0,869,481,0.7760445682451254,0.4805738194859534,0.0,0.0,0.0,10,0.20713463751438435,1.4
r2_s_pcvt_w250_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,1,851,481,0.7760445682451254,0.4805738194859534,0.006338028169014085,0.021151586368977675,0.0,10,0.20681551116333724,1.4
r2_s_pcvt_w250_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,2,840,481,0.7760445682451254,0.4805738194859534,0.013869625520110958,0.03333333333333333,0.0,10,0.20714285714285716,1.6
r2_s_pcvt_w250_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,0,464,336,0.5504178272980501,0.7226539151225344,0.0,0.0,0.0,10,0.1939655172413793,1.6
r2_s_pcvt_w250_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,1,458,336,0.5504178272980501,0.7226539151225344,0.003009027081243731,0.013100436681222707,0.0,10,0.19213973799126638,1.6
r2_s_pcvt_w250_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,2,456,336,0.5504178272980501,0.7226539151225344,0.004995004995004995,0.017543859649122806,0.0,10,0.19078947368421054,1.8
