pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,security_id,common_count,eligible,pearson_raw,spearman_midrank,reason
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000725.SZ,2487,True,0.74105688825837,0.6150940724169913,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000728.SZ,2343,True,0.47294784729558,0.5715715557513574,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000729.SZ,2487,True,0.6366759039201365,0.5564099282334058,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000733.SZ,2407,True,0.700564594154746,0.5809660948669457,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000737.SZ,2097,True,0.6495452434884269,0.6022952449418482,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000738.SZ,2487,True,0.6718233091573839,0.6154240458134512,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000739.SZ,2487,True,0.6621179196519232,0.5860570836400074,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000750.SZ,2272,True,0.6732478603347828,0.5769144075903803,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000768.SZ,2487,True,0.6447666576224661,0.5483857859182687,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000776.SZ,2487,True,0.6632672033207208,0.5453402122489741,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000783.SZ,2487,True,0.6515087501353044,0.5816470496740733,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000785.SZ,2358,True,0.6059745290231174,0.5425836434521321,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000786.SZ,2362,True,0.6191929788220956,0.5686127509943273,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000792.SZ,1882,True,0.6366094270329206,0.6110485564587497,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000800.SZ,2358,True,0.6371766589791961,0.5898553167198777,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000807.SZ,2342,True,0.6652000700661171,0.601293724014517,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000825.SZ,2261,True,0.6784056294116126,0.5830609778290913,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000830.SZ,2418,True,0.6336017303113612,0.5956141687494595,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000831.SZ,2367,True,0.68579248964197,0.5376183608945379,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000858.SZ,2487,True,0.6858139689406504,0.6339104857990044,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000878.SZ,2282,True,0.6035528819183614,0.5236697731831266,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000883.SZ,2487,True,0.7349787816912984,0.6407096852049184,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000887.SZ,2200,True,0.658315146234747,0.582472584282464,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000893.SZ,1929,True,0.6724083729085509,0.6011920462109974,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000895.SZ,2332,True,0.641497471503614,0.5707328593563019,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000898.SZ,2427,True,0.5758604246746755,0.5474535575169006,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000921.SZ,2487,True,0.6475985787248922,0.5623814516833626,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000932.SZ,1987,True,0.5249294384637883,0.5300539432747603,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000937.SZ,2487,True,0.6812824376008544,0.5700977717293662,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000938.SZ,2334,True,0.46410043281527885,0.5206692946720631,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000951.SZ,2487,True,0.4452340109992878,0.5806332660233424,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000959.SZ,2097,True,0.6802553701022623,0.619798568085592,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000960.SZ,2392,True,0.6115476533827062,0.5570137191976213,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000963.SZ,2487,True,0.38106420231811267,0.5174777168864333,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000967.SZ,2255,True,0.6115622449853451,0.6126479251826954,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000975.SZ,2084,True,0.4399487746242528,0.49489437358845817,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000977.SZ,2297,True,0.6391102073513063,0.5568466431012672,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000983.SZ,2359,True,0.5970645277891234,0.5703739531658255,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000987.SZ,2083,True,0.5753183510608904,0.5044978093738709,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000988.SZ,2429,True,0.6742569068146034,0.538780244371433,
A1__C1_LogMASpread_5_60,A1_LogBodyCenterToMACloudCenter_5_60,C1_LogMASpread_5_60,C,000997.SZ,2385,True,0.6582757381607128,0.5500061086148853,
