pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,tail_fraction,a_threshold,pcvt_threshold,a_selected_count,a_realized_rate,pcvt_selected_count,pcvt_realized_rate,intersection_count,union_count,jaccard,a_containment,pcvt_containment
A1__V1_TurnoverShrink20_60,A1_LogBodyCenterToMACloudCenter_5_60,V1_TurnoverShrink20_60,V,0.05,0.0024652333794161763,0.4531665467343331,80678,0.05000018592498299,80678,0.05000018592498299,4288,157068,0.0273002775867777,0.05314955750018593,0.05314955750018593
A1__V1_TurnoverShrink20_60,A1_LogBodyCenterToMACloudCenter_5_60,V1_TurnoverShrink20_60,V,0.1,0.004944794958948506,0.5355207743312518,161356,0.10000037184996598,161356,0.10000037184996598,18131,304581,0.05952767900821128,0.1123664443838469,0.1123664443838469
A1__V2_LogAmount20_base,A1_LogBodyCenterToMACloudCenter_5_60,V2_LogAmount20_base,V,0.01,0.0004920023406387308,16.873300717485453,16321,0.010000165433776553,16321,0.010000165433776553,235,32407,0.0072515197333909345,0.014398627535077507,0.014398627535077507
A1__V2_LogAmount20_base,A1_LogBodyCenterToMACloudCenter_5_60,V2_LogAmount20_base,V,0.05,0.0024706467479083116,17.59506030902781,81604,0.05000021445119183,81604,0.05000021445119183,5510,157698,0.03494020215855623,0.06752119994117936,0.06752119994117936
A1__V2_LogAmount20_base,A1_LogBodyCenterToMACloudCenter_5_60,V2_LogAmount20_base,V,0.1,0.004954550609300057,17.99580270967967,163208,0.10000042890238366,163208,0.10000042890238366,21396,305020,0.07014621992000525,0.13109651487672172,0.13109651487672172
A2__C1_LogMASpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C1_LogMASpread_5_60,C,0.01,0.05,0.0037042392529269344,21418,0.01336172288742477,16030,0.010000393028546974,86,37362,0.0023018039719501096,0.004015314221682696,0.005364940736119776
A2__C1_LogMASpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C1_LogMASpread_5_60,C,0.05,0.2,0.0067173176859450165,127183,0.07934372966623142,80147,0.05000009357822547,7283,200047,0.0364064444855459,0.057263942508039595,0.09087052540955994
A2__C1_LogMASpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C1_LogMASpread_5_60,C,0.1,0.25,0.009103848539371016,198687,0.12395184589288288,160294,0.10000018715645094,26236,332745,0.07884716524666036,0.13204688781852864,0.16367424856825583
A2__C2_AdjVWAPSpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C2_AdjVWAPSpread_5_60,C,0.01,0.05,0.003832928551830645,20867,0.013141321953886032,15879,0.010000050381260187,81,36665,0.0022091913268784944,0.0038817271289596014,0.005101076894010958
A2__C2_AdjVWAPSpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C2_AdjVWAPSpread_5_60,C,0.05,0.2,0.006921398393576042,125074,0.07876732170701786,79395,0.05000025190630093,6978,197491,0.035333255692664475,0.05579097174472712,0.08788966559607028
A2__C2_AdjVWAPSpread_5_60,A2_BodyCenterOutsideMACloudRate20_5_60,C2_AdjVWAPSpread_5_60,C,0.1,0.25,0.00934820428754805,195752,0.12327790555025153,158790,0.10000050381260187,24978,329564,0.07579104513842531,0.1276002288610078,0.15730209710938975
A2__P1_NATR14,A2_BodyCenterOutsideMACloudRate20_5_60,P1_NATR14,P,0.01,0.05,0.011792399386173647,21418,0.01336172288742477,16030,0.010000393028546974,181,37267,0.004856843856495022,0.008450835745634513,0.011291328758577667
A2__P1_NATR14,A2_BodyCenterOutsideMACloudRate20_5_60,P1_NATR14,P,0.05,0.2,0.01598578678284574,127183,0.07934372966623142,80147,0.05000009357822547,6506,200824,0.03239652631159622,0.05115463544656126,0.08117583939511148
A2__P1_NATR14,A2_BodyCenterOutsideMACloudRate20_5_60,P1_NATR14,P,0.1,0.25,0.018751913181167576,198687,0.12395184589288288,160294,0.10000018715645094,20431,338550,0.060348545266578055,0.10283007947173192,0.1274595430895729
A2__P2_LogRange20,A2_BodyCenterOutsideMACloudRate20_5_60,P2_LogRange20,P,0.01,0.05,0.04113690556048945,21418,0.01336172288742477,16030,0.010000393028546974,337,37111,0.009080865511573388,0.015734428984965916,0.02102308172177168
A2__P2_LogRange20,A2_BodyCenterOutsideMACloudRate20_5_60,P2_LogRange20,P,0.05,0.2,0.06040912779555998,127183,0.07934372966623142,80164,0.05001069911044539,9072,198275,0.04575463371579876,0.07133028785293632,0.11316800558854348
A2__P2_LogRange20,A2_BodyCenterOutsideMACloudRate20_5_60,P2_LogRange20,P,0.1,0.25,0.07404102654700233,198687,0.12395184589288288,160296,0.10000143486612387,27044,331939,0.08147280072543449,0.13611358569005522,0.1687128811698358
A2__T1_ER20,A2_BodyCenterOutsideMACloudRate20_5_60,T1_ER20,T,0.01,0.05,0.0034682712800321613,21418,0.01336172288742477,16030,0.010000393028546974,163,37285,0.004371731259219525,0.0076104211410962744,0.010168434185901435
A2__T1_ER20,A2_BodyCenterOutsideMACloudRate20_5_60,T1_ER20,T,0.05,0.2,0.019570738105121298,127183,0.07934372966623142,80147,0.05000009357822547,6803,200527,0.033925606028115916,0.05348985320365143,0.08488153018827904
A2__T1_ER20,A2_BodyCenterOutsideMACloudRate20_5_60,T1_ER20,T,0.1,0.25,0.03916567410207478,198687,0.12395184589288288,160294,0.10000018715645094,23891,335090,0.07129726342176729,0.1202444045156452,0.14904488003293948
A2__T2_AbsTrendT20,A2_BodyCenterOutsideMACloudRate20_5_60,T2_AbsTrendT20,T,0.01,0.05,0.07156031235177696,21418,0.01336172288742477,16030,0.010000393028546974,210,37238,0.005639400612277781,0.00980483705294612,0.013100436681222707
A2__T2_AbsTrendT20,A2_BodyCenterOutsideMACloudRate20_5_60,T2_AbsTrendT20,T,0.05,0.2,0.3579592192850394,127183,0.07934372966623142,80147,0.05000009357822547,7075,200255,0.03532995430825697,0.05562850380947139,0.08827529414700488
A2__T2_AbsTrendT20,A2_BodyCenterOutsideMACloudRate20_5_60,T2_AbsTrendT20,T,0.1,0.25,0.7179068117412867,198687,0.12395184589288288,160294,0.10000018715645094,22423,336558,0.06662447483048985,0.11285589897678258,0.13988670817373078
A2__V1_TurnoverShrink20_60,A2_BodyCenterOutsideMACloudRate20_5_60,V1_TurnoverShrink20_60,V,0.01,0.05,0.32646905852523844,21360,0.013367268840433235,15980,0.01000041929167243,139,37201,0.0037364586973468454,0.0065074906367041194,0.008698372966207759
A2__V1_TurnoverShrink20_60,A2_BodyCenterOutsideMACloudRate20_5_60,V1_TurnoverShrink20_60,V,0.05,0.2,0.45419220355459594,126818,0.07936377808080815,79897,0.05000021903296321,5256,201459,0.026089675814930085,0.041445220709993846,0.06578469779841546
A2__V1_TurnoverShrink20_60,A2_BodyCenterOutsideMACloudRate20_5_60,V1_TurnoverShrink20_60,V,0.1,0.25,0.5367571864660654,198063,0.12394950226323632,159794,0.10000043806592641,19801,338056,0.05857313581181816,0.0999732408375113,0.12391579158166138
A2__V2_LogAmount20_base,A2_BodyCenterOutsideMACloudRate20_5_60,V2_LogAmount20_base,V,0.01,0.05,16.873486689898595,21418,0.01336172288742477,16030,0.010000393028546974,218,37230,0.005855492882084341,0.010178354654963116,0.013599500935745476
A2__V2_LogAmount20_base,A2_BodyCenterOutsideMACloudRate20_5_60,V2_LogAmount20_base,V,0.05,0.2,17.59442735236539,127183,0.07934372966623142,80147,0.05000009357822547,7190,200140,0.03592485260317778,0.05653271270531439,0.08971015758543675
A2__V2_LogAmount20_base,A2_BodyCenterOutsideMACloudRate20_5_60,V2_LogAmount20_base,V,0.1,0.25,17.996071325624776,198687,0.12395184589288288,160294,0.10000018715645094,21437,337544,0.06350875737681606,0.10789331964345932,0.13373551099854017
A2b__C1_LogMASpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C1_LogMASpread_5_60,C,0.01,0.0,0.0037042392529269344,23721,0.014798460575805536,16030,0.010000393028546974,235,39516,0.005946958194149205,0.009906833607352136,0.014660012476606364
A2b__C1_LogMASpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C1_LogMASpread_5_60,C,0.05,0.0005222050593880923,0.0067173176859450165,80147,0.05000009357822547,80147,0.05000009357822547,12595,147699,0.08527478181978213,0.1571487391917352,0.1571487391917352
A2b__C1_LogMASpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C1_LogMASpread_5_60,C,0.1,0.0010059734391789643,0.009103848539371016,160294,0.10000018715645094,160294,0.10000018715645094,48736,271852,0.17927401674440505,0.30404132406702683,0.30404132406702683
A2b__C2_AdjVWAPSpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C2_AdjVWAPSpread_5_60,C,0.01,0.0,0.003832928551830645,23162,0.014586634355485134,15879,0.010000050381260187,198,38843,0.005097443554823263,0.008548484586823245,0.012469299074249008
