layer,role,indicator_id,W,q,total_row_count,eligible_day_count,ineligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,coverage,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
P,B,P2_LogRange20,250,0.1,1730769,1516287,214482,195866,1320421,214482,0.12917475385596527,0.11316703731116053,789,10,24096,23954,142,195866,8.128569057104913,8.04637856765379,1,1.0,2.0,5.0,11.0,19.0,25.0,38.0,82,3588,0.14890438247011953
P,B,P2_LogRange20,250,0.2,1730769,1516287,214482,343915,1172372,214482,0.22681392111124082,0.19870647093864058,790,10,31559,31318,241,343915,10.897525270128964,11.442303673245645,1,1.0,3.0,7.0,15.0,26.0,34.0,53.0,121,3835,0.12151842580563389
P,B,P2_LogRange20,250,0.3,1730769,1516287,214482,485986,1030301,214482,0.32051056297389613,0.2807919485500376,790,10,35307,34969,338,485986,13.764579261902739,14.879216103428156,1,1.0,4.0,9.0,18.0,33.0,45.0,70.0,145,3535,0.10012178888039198
P,B,P2_LogRange20,500,0.1,1730769,1319004,411765,166161,1152843,411765,0.1259745990156209,0.09600414613388615,779,9,18602,18550,52,166161,8.932426620793462,9.252173407988103,1,1.0,3.0,6.0,12.0,21.0,28.0,44.0,89,2545,0.136813245887539
P,B,P2_LogRange20,500,0.2,1730769,1319004,411765,297293,1021711,411765,0.22539203823491058,0.1717693117914638,781,9,24966,24864,102,297293,11.907914764079148,13.45365426119892,1,1.0,3.0,7.0,16.0,28.0,39.0,64.0,164,2868,0.1148762316750781
P,B,P2_LogRange20,500,0.3,1730769,1319004,411765,422114,896890,411765,0.3200248065964925,0.24388812140730506,782,9,28329,28185,144,422114,14.90042006424512,17.717080683098445,1,2.0,4.0,9.0,19.0,36.0,49.0,83.0,244,2812,0.09926224010731052
T,A,T1_ER20,120,0.1,1730769,1618814,111955,182520,1436294,111955,0.11274921022427531,0.10545601406080188,796,11,111640,111538,102,182520,1.6348978860623433,1.098424184667508,1,1.0,1.0,1.0,2.0,3.0,4.0,6.0,16,70363,0.63026692941598
T,A,T1_ER20,120,0.2,1730769,1618814,111955,346102,1272712,111955,0.21379973239668054,0.1999700711071206,796,11,141588,141411,177,346102,2.4444303189535836,2.0655214398113575,1,1.0,1.0,2.0,3.0,5.0,7.0,10.0,28,62708,0.4428906404497556
T,A,T1_ER20,120,0.3,1730769,1618814,111955,505925,1112889,111955,0.31252818421387507,0.2923122611971904,796,11,147172,146925,247,505925,3.437644388878319,3.2463947351015845,1,1.0,1.0,2.0,4.0,8.0,10.0,16.0,42,50278,0.3416274834887071
T,A,T1_ER20,250,0.1,1730769,1515495,215274,160261,1355234,215274,0.10574828686336807,0.09259525679047868,792,10,101761,101684,77,160261,1.5748764261357495,0.9929177721993132,1,1.0,1.0,1.0,2.0,3.0,4.0,5.0,15,65793,0.6465443539273396
