source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,total_row_count,reason_occurrence_count,row_count,row_prevalence,reason_occurrence_share
indicator_score,P,P2_LogRange20,P2_LogRange20,250,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,250,valid,valid_no_blocker,1730769,1745969,1516287,0.8760770501436067,0.8684501271213865
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,insufficient_strict_past_history,1730769,1745969,396565,0.22912647499464112,0.2271317531983672
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,500,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,P,P2_LogRange20,P2_LogRange20,500,valid,valid_no_blocker,1730769,1745969,1319004,0.7620913016121735,0.7554567120034777
indicator_score,T,T1_ER20,T1_ER20,120,unknown,insufficient_strict_past_history,1730769,1746769,95955,0.055440674058756544,0.05493285030819759
indicator_score,T,T1_ER20,T1_ER20,120,unknown,raw_metric_not_valid,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,120,unknown,window_insufficient,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,120,valid,valid_no_blocker,1730769,1746769,1618814,0.9353148802642063,0.9267476123059203
indicator_score,T,T1_ER20,T1_ER20,250,unknown,insufficient_strict_past_history,1730769,1746769,199274,0.11513610424036945,0.11408148415732132
indicator_score,T,T1_ER20,T1_ER20,250,unknown,raw_metric_not_valid,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,250,unknown,window_insufficient,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,250,valid,valid_no_blocker,1730769,1746769,1515495,0.8756194500825933,0.8675989784567966
indicator_score,T,T1_ER20,T1_ER20,500,unknown,insufficient_strict_past_history,1730769,1746769,396550,0.22911780832681888,0.22701914219911162
indicator_score,T,T1_ER20,T1_ER20,500,unknown,raw_metric_not_valid,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
