layer,indicator_a,indicator_b,W,q,common_eligible_rows,both_hit,indicator_a_only,indicator_b_only,neither,A_hit_count,B_hit_count,A_hit_rate,B_hit_rate,both_hit_rate,A_given_B,B_given_A,Jaccard,A_given_B_denominator_zero,B_given_A_denominator_zero,Jaccard_denominator_zero,joint_segment_count,joint_strict_onset_count,joint_left_censored_start_count,joint_total_duration,joint_mean_duration,joint_median_duration,joint_q90_duration,joint_q95_duration,joint_max_duration,joint_single_day_segment_count,joint_single_day_fragment_ratio
T,T1_ER20,T2_AbsTrendT20,500,0.2,1318219,118201,150613,151327,898078,268814,269528,0.20392211005910246,0.2044637499535358,0.08966719490464027,0.43854812858033304,0.43971296137849963,0.2813365036975682,false,false,false,60923,60856,67,118201,1.9401703790030038,2.0,4.0,4.0,16,30240,0.49636426308619075
T,T1_ER20,T2_AbsTrendT20,500,0.3,1318219,236291,164546,165466,751916,400837,401757,0.30407466437670827,0.30477257572527783,0.17925018528787706,0.5881440771411575,0.5894939838388172,0.4172518951868523,false,false,false,81358,81214,144,236291,2.9043363897834262,2.0,6.0,7.0,32,26647,0.32752771700385946
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,0.1,1567078,99263,120237,179370,1168208,219500,278633,0.1400696072563076,0.17780416801205812,0.06334273086598115,0.35624997756906035,0.45222323462414576,0.2488605310000752,false,false,false,11290,11243,47,99263,8.792116917626219,6.0,20.0,24.0,54,1921,0.17015057573073517
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,0.2,1567078,185298,161405,228761,991614,346703,414059,0.22124169951974312,0.26422360597238936,0.11824427373749105,0.4475159337195907,0.5344574462868795,0.3219975532787455,false,false,false,16201,16105,96,185298,11.437442133201655,7.0,27.0,32.0,73,2583,0.15943460280229615
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,0.3,1567078,289588,188107,253999,835384,477695,543587,0.30483166760046404,0.34687935125118213,0.18479488576828978,0.5327353303151106,0.6062194496488345,0.3957774698166173,false,false,false,20660,20501,159,289588,14.016844143272023,9.0,35.0,41.0,92,3004,0.14540174249757987
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,0.1,1464003,54192,107798,159221,1142792,161990,213413,0.11064868036472603,0.14577360838741452,0.03701631758951314,0.2539301729510386,0.33453916908451137,0.1687115322949712,false,false,false,6064,6036,28,54192,8.936675461741425,6.0,22.0,27.0,53,1136,0.18733509234828497
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,0.2,1464003,123768,167462,212986,959787,291230,336754,0.198927187990735,0.2300227526856161,0.08454081036719187,0.367532382688847,0.4249836898671153,0.24546622875910323,false,false,false,10610,10530,80,123768,11.66522148916117,7.0,28.0,35.0,83,1673,0.15768143261074458
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,0.3,1464003,215403,212010,234928,801662,427413,450331,0.291948172237352,0.30760251174348685,0.147132895219477,0.4783215012957136,0.5039692288255153,0.3252146552908547,false,false,false,15102,14973,129,215403,14.263210170838299,9.0,35.0,43.0,101,2117,0.14018010859488808
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,0.1,1267268,31176,94719,120985,1020388,125895,152161,0.09934362739373202,0.12007010356136193,0.024600952600397075,0.20488824337379485,0.247634933873466,0.1262799740764744,false,false,false,3413,3392,21,31176,9.134485789627893,6.0,22.0,27.0,59,597,0.17491942572516847
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,0.2,1267268,83025,160406,166875,856962,243431,249900,0.19209117566292214,0.19719585754552313,0.06551495027097662,0.3322328931572629,0.3410617382338322,0.20234897856721568,false,false,false,6851,6782,69,83025,12.118668807473362,8.0,29.0,36.0,91,985,0.1437746314406656
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,0.3,1267268,153060,210298,190056,713854,363358,343116,0.286725459808028,0.2707525164369336,0.12077950362512113,0.44608820340642813,0.4212374572735429,0.2765741379871127,false,false,false,10354,10238,116,153060,14.782692679157813,10.0,36.0,45.0,103,1432,0.13830403708711608
