candidate_cell_id,d,g,qualified_event_count,confirmed_event_coverage,active_zone_count,gap_pending_zone_count,reentry_pending_zone_count,unqualified_reentry_count,confirmed_density,raw_false_bridged_day_count,preconfirmation_gap_day_count,total_nonconfirmed_gap_day_count,raw_false_bridged_day_ratio,nonconfirmed_gap_ratio,max_raw_false_gap_days,max_total_gap_span_days
r2_s_pcvt_w250_q20_shared__d3__g1,3,1,273,0.5305646290247317,0,0,0,2,0.994750656167979,2,4,6,0.0017497812773403325,0.005249343832020997,1,3
r2_s_pcvt_w250_q20_shared__d3__g2,3,2,272,0.5305646290247317,0,0,0,9,0.99128160418483,4,6,10,0.0034873583260680036,0.008718395815170008,2,4
r2_s_pcvt_w250_qv30_primary__d1__g0,1,0,1674,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d1__g1,1,1,1625,1.0,0,0,0,0,0.9606741573033708,49,98,147,0.013108614232209739,0.03932584269662921,1,3
r2_s_pcvt_w250_qv30_primary__d1__g2,1,2,1592,1.0,0,0,0,0,0.9267096774193548,115,169,284,0.02967741935483871,0.07329032258064516,2,5
r2_s_pcvt_w250_qv30_primary__d2__g0,2,0,869,0.7758284600389863,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d2__g1,2,1,851,0.7758284600389863,0,0,0,10,0.9809859154929578,18,36,54,0.006338028169014085,0.019014084507042252,1,3
r2_s_pcvt_w250_qv30_primary__d2__g2,2,2,840,0.7758284600389863,0,0,0,18,0.9660194174757282,40,58,98,0.013869625520110958,0.03398058252427184,2,4
r2_s_pcvt_w250_qv30_primary__d3__g0,3,0,464,0.5502645502645502,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w250_qv30_primary__d3__g1,3,1,458,0.5502645502645502,0,0,0,7,0.9909729187562688,6,12,18,0.003009027081243731,0.009027081243731194,1,3
r2_s_pcvt_w250_qv30_primary__d3__g2,3,2,456,0.5502645502645502,0,0,0,20,0.987012987012987,10,16,26,0.004995004995004995,0.012987012987012988,2,4
