check_id,scope,candidate_cell_id,observed_value,expected_rule,status,blocking,detail
s_pct_qualified_event_count,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d3__g0,2961,>=384,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d3__g1,2874,>=384,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d1__g1,4690,>=250,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d2__g1,2572,>=250,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d3__g0,1442,>=250,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d3__g1,1420,>=250,passed,False,frozen_reference_gate
s_pct_qualified_event_count,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d3__g2,1403,>=250,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d2__g2,772,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d3__g1,670,>=156,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d3__g2,670,>=156,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d1__g0,783,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d2__g1,771,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d2__g2,771,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d2__g0,734,>=155,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d1__g0,782,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d1__g1,782,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d2__g1,752,>=156,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_q20_shared,r2_s_pct_w120_q20_shared__d3__g0,670,>=156,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d2__g0,771,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d1__g0,773,>=155,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_q20_shared,r2_s_pct_w250_q20_shared__d2__g2,734,>=155,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d3__g0,747,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d3__g1,747,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d3__g2,747,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d2__g0,772,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w250_qt25_primary,r2_s_pct_w250_qt25_primary__d2__g1,772,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d1__g1,783,>=157,passed,False,frozen_reference_gate
s_pct_unique_securities,r2_s_pct_w120_qt25_primary,r2_s_pct_w120_qt25_primary__d3__g2,752,>=157,passed,False,frozen_reference_gate
