candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w250_qt25_primary__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_qt25_primary__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_qt25_primary__d1__g1,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d1__g1,qualified_components,6958,6958,passed
r2_s_pct_w250_qt25_primary__d1__g1,event_count,6557,6557,passed
r2_s_pct_w250_qt25_primary__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_qt25_primary__d1__g1,raw_false_bridged_days,401,401,passed
r2_s_pct_w250_qt25_primary__d1__g2,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d1__g2,qualified_components,6958,6958,passed
r2_s_pct_w250_qt25_primary__d1__g2,event_count,6297,6297,passed
r2_s_pct_w250_qt25_primary__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w250_qt25_primary__d1__g2,raw_false_bridged_days,921,921,passed
r2_s_pct_w250_qt25_primary__d2__g0,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d2__g0,qualified_components,4325,4325,passed
r2_s_pct_w250_qt25_primary__d2__g0,event_count,4325,4325,passed
r2_s_pct_w250_qt25_primary__d2__g0,confirmed_event_coverage,0.8563400261894369,0.8563400261894369,passed
r2_s_pct_w250_qt25_primary__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_qt25_primary__d2__g1,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d2__g1,qualified_components,4325,4325,passed
r2_s_pct_w250_qt25_primary__d2__g1,event_count,4164,4164,passed
r2_s_pct_w250_qt25_primary__d2__g1,confirmed_event_coverage,0.8563400261894369,0.8563400261894369,passed
r2_s_pct_w250_qt25_primary__d2__g1,raw_false_bridged_days,161,161,passed
r2_s_pct_w250_qt25_primary__d2__g2,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d2__g2,qualified_components,4325,4325,passed
r2_s_pct_w250_qt25_primary__d2__g2,event_count,4057,4057,passed
r2_s_pct_w250_qt25_primary__d2__g2,confirmed_event_coverage,0.8563400261894369,0.8563400261894369,passed
r2_s_pct_w250_qt25_primary__d2__g2,raw_false_bridged_days,375,375,passed
r2_s_pct_w250_qt25_primary__d3__g0,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d3__g0,qualified_components,2642,2642,passed
r2_s_pct_w250_qt25_primary__d3__g0,event_count,2642,2642,passed
r2_s_pct_w250_qt25_primary__d3__g0,confirmed_event_coverage,0.6726865997381056,0.6726865997381056,passed
r2_s_pct_w250_qt25_primary__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w250_qt25_primary__d3__g1,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d3__g1,qualified_components,2642,2642,passed
r2_s_pct_w250_qt25_primary__d3__g1,event_count,2574,2574,passed
r2_s_pct_w250_qt25_primary__d3__g1,confirmed_event_coverage,0.6726865997381056,0.6726865997381056,passed
r2_s_pct_w250_qt25_primary__d3__g1,raw_false_bridged_days,68,68,passed
r2_s_pct_w250_qt25_primary__d3__g2,confirmed_days,18328,18328,passed
r2_s_pct_w250_qt25_primary__d3__g2,qualified_components,2642,2642,passed
r2_s_pct_w250_qt25_primary__d3__g2,event_count,2531,2531,passed
r2_s_pct_w250_qt25_primary__d3__g2,confirmed_event_coverage,0.6726865997381056,0.6726865997381056,passed
r2_s_pct_w250_qt25_primary__d3__g2,raw_false_bridged_days,154,154,passed
r2_s_pcvt_w120_q20_shared__d1__g0,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d1__g0,qualified_components,1426,1426,passed
r2_s_pcvt_w120_q20_shared__d1__g0,event_count,1426,1426,passed
r2_s_pcvt_w120_q20_shared__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_q20_shared__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_q20_shared__d1__g1,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d1__g1,qualified_components,1426,1426,passed
r2_s_pcvt_w120_q20_shared__d1__g1,event_count,1382,1382,passed
r2_s_pcvt_w120_q20_shared__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_q20_shared__d1__g1,raw_false_bridged_days,44,44,passed
r2_s_pcvt_w120_q20_shared__d1__g2,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d1__g2,qualified_components,1426,1426,passed
r2_s_pcvt_w120_q20_shared__d1__g2,event_count,1356,1356,passed
r2_s_pcvt_w120_q20_shared__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_q20_shared__d1__g2,raw_false_bridged_days,96,96,passed
r2_s_pcvt_w120_q20_shared__d2__g0,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d2__g0,qualified_components,717,717,passed
r2_s_pcvt_w120_q20_shared__d2__g0,event_count,717,717,passed
r2_s_pcvt_w120_q20_shared__d2__g0,confirmed_event_coverage,0.7589255355321319,0.7589255355321319,passed
r2_s_pcvt_w120_q20_shared__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_q20_shared__d2__g1,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d2__g1,qualified_components,717,717,passed
r2_s_pcvt_w120_q20_shared__d2__g1,event_count,706,706,passed
r2_s_pcvt_w120_q20_shared__d2__g1,confirmed_event_coverage,0.7589255355321319,0.7589255355321319,passed
r2_s_pcvt_w120_q20_shared__d2__g1,raw_false_bridged_days,11,11,passed
r2_s_pcvt_w120_q20_shared__d2__g2,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d2__g2,qualified_components,717,717,passed
r2_s_pcvt_w120_q20_shared__d2__g2,event_count,699,699,passed
r2_s_pcvt_w120_q20_shared__d2__g2,confirmed_event_coverage,0.7589255355321319,0.7589255355321319,passed
r2_s_pcvt_w120_q20_shared__d2__g2,raw_false_bridged_days,25,25,passed
r2_s_pcvt_w120_q20_shared__d3__g0,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d3__g0,qualified_components,382,382,passed
r2_s_pcvt_w120_q20_shared__d3__g0,event_count,382,382,passed
r2_s_pcvt_w120_q20_shared__d3__g0,confirmed_event_coverage,0.5311118667120027,0.5311118667120027,passed
r2_s_pcvt_w120_q20_shared__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_q20_shared__d3__g1,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d3__g1,qualified_components,382,382,passed
r2_s_pcvt_w120_q20_shared__d3__g1,event_count,378,378,passed
r2_s_pcvt_w120_q20_shared__d3__g1,confirmed_event_coverage,0.5311118667120027,0.5311118667120027,passed
r2_s_pcvt_w120_q20_shared__d3__g1,raw_false_bridged_days,4,4,passed
r2_s_pcvt_w120_q20_shared__d3__g2,confirmed_days,2941,2941,passed
r2_s_pcvt_w120_q20_shared__d3__g2,qualified_components,382,382,passed
r2_s_pcvt_w120_q20_shared__d3__g2,event_count,376,376,passed
r2_s_pcvt_w120_q20_shared__d3__g2,confirmed_event_coverage,0.5311118667120027,0.5311118667120027,passed
r2_s_pcvt_w120_q20_shared__d3__g2,raw_false_bridged_days,8,8,passed
r2_s_pcvt_w120_qv30_primary__d1__g0,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d1__g0,qualified_components,2179,2179,passed
r2_s_pcvt_w120_qv30_primary__d1__g0,event_count,2179,2179,passed
r2_s_pcvt_w120_qv30_primary__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_qv30_primary__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_qv30_primary__d1__g1,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d1__g1,qualified_components,2179,2179,passed
r2_s_pcvt_w120_qv30_primary__d1__g1,event_count,2104,2104,passed
r2_s_pcvt_w120_qv30_primary__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_qv30_primary__d1__g1,raw_false_bridged_days,75,75,passed
r2_s_pcvt_w120_qv30_primary__d1__g2,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d1__g2,qualified_components,2179,2179,passed
r2_s_pcvt_w120_qv30_primary__d1__g2,event_count,2056,2056,passed
r2_s_pcvt_w120_qv30_primary__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w120_qv30_primary__d1__g2,raw_false_bridged_days,171,171,passed
r2_s_pcvt_w120_qv30_primary__d2__g0,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d2__g0,qualified_components,1109,1109,passed
r2_s_pcvt_w120_qv30_primary__d2__g0,event_count,1109,1109,passed
r2_s_pcvt_w120_qv30_primary__d2__g0,confirmed_event_coverage,0.7657105320779505,0.7657105320779505,passed
r2_s_pcvt_w120_qv30_primary__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_qv30_primary__d2__g1,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d2__g1,qualified_components,1109,1109,passed
r2_s_pcvt_w120_qv30_primary__d2__g1,event_count,1087,1087,passed
r2_s_pcvt_w120_qv30_primary__d2__g1,confirmed_event_coverage,0.7657105320779505,0.7657105320779505,passed
r2_s_pcvt_w120_qv30_primary__d2__g1,raw_false_bridged_days,22,22,passed
r2_s_pcvt_w120_qv30_primary__d2__g2,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d2__g2,qualified_components,1109,1109,passed
r2_s_pcvt_w120_qv30_primary__d2__g2,event_count,1075,1075,passed
r2_s_pcvt_w120_qv30_primary__d2__g2,confirmed_event_coverage,0.7657105320779505,0.7657105320779505,passed
r2_s_pcvt_w120_qv30_primary__d2__g2,raw_false_bridged_days,46,46,passed
r2_s_pcvt_w120_qv30_primary__d3__g0,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d3__g0,qualified_components,580,580,passed
r2_s_pcvt_w120_qv30_primary__d3__g0,event_count,580,580,passed
r2_s_pcvt_w120_qv30_primary__d3__g0,confirmed_event_coverage,0.5340486095905408,0.5340486095905408,passed
r2_s_pcvt_w120_qv30_primary__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w120_qv30_primary__d3__g1,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d3__g1,qualified_components,580,580,passed
r2_s_pcvt_w120_qv30_primary__d3__g1,event_count,573,573,passed
r2_s_pcvt_w120_qv30_primary__d3__g1,confirmed_event_coverage,0.5340486095905408,0.5340486095905408,passed
r2_s_pcvt_w120_qv30_primary__d3__g1,raw_false_bridged_days,7,7,passed
r2_s_pcvt_w120_qv30_primary__d3__g2,confirmed_days,4567,4567,passed
r2_s_pcvt_w120_qv30_primary__d3__g2,qualified_components,580,580,passed
r2_s_pcvt_w120_qv30_primary__d3__g2,event_count,570,570,passed
r2_s_pcvt_w120_qv30_primary__d3__g2,confirmed_event_coverage,0.5340486095905408,0.5340486095905408,passed
r2_s_pcvt_w120_qv30_primary__d3__g2,raw_false_bridged_days,13,13,passed
r2_s_pcvt_w250_q20_shared__d1__g0,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d1__g0,qualified_components,1024,1024,passed
r2_s_pcvt_w250_q20_shared__d1__g0,event_count,1024,1024,passed
r2_s_pcvt_w250_q20_shared__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w250_q20_shared__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w250_q20_shared__d1__g1,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d1__g1,qualified_components,1024,1024,passed
r2_s_pcvt_w250_q20_shared__d1__g1,event_count,1003,1003,passed
r2_s_pcvt_w250_q20_shared__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w250_q20_shared__d1__g1,raw_false_bridged_days,21,21,passed
r2_s_pcvt_w250_q20_shared__d1__g2,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d1__g2,qualified_components,1024,1024,passed
r2_s_pcvt_w250_q20_shared__d1__g2,event_count,985,985,passed
r2_s_pcvt_w250_q20_shared__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w250_q20_shared__d1__g2,raw_false_bridged_days,57,57,passed
r2_s_pcvt_w250_q20_shared__d2__g0,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d2__g0,qualified_components,532,532,passed
r2_s_pcvt_w250_q20_shared__d2__g0,event_count,532,532,passed
r2_s_pcvt_w250_q20_shared__d2__g0,confirmed_event_coverage,0.7704153056462902,0.7704153056462902,passed
r2_s_pcvt_w250_q20_shared__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w250_q20_shared__d2__g1,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d2__g1,qualified_components,532,532,passed
r2_s_pcvt_w250_q20_shared__d2__g1,event_count,525,525,passed
