candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w120_qt25_primary__d3__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1911,0
r2_s_pct_w120_qt25_primary__d3__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,4712,0
r2_s_pct_w120_qt25_primary__d3__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,7672,0
r2_s_pct_w120_qt25_primary__d3__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_qt25_primary__d3__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2675,0
r2_s_pct_w120_qt25_primary__d3__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_qt25_primary__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,130,0
r2_s_pct_w120_qt25_primary__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,155,0
r2_s_pct_w120_qt25_primary__d3__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2651,0
r2_s_pct_w120_qt25_primary__d3__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,7673,0
r2_s_pct_w120_qt25_primary__d3__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,155,0
r2_s_pct_w120_qt25_primary__d3__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,130,0
r2_s_pct_w250_q20_shared__d1__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,773,0
r2_s_pct_w250_q20_shared__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d1__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4884,0
r2_s_pct_w250_q20_shared__d1__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4111,0
r2_s_pct_w250_q20_shared__d1__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,773,0
r2_s_pct_w250_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4689,0
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,194,0
r2_s_pct_w250_q20_shared__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4111,0
r2_s_pct_w250_q20_shared__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,194,0
r2_s_pct_w250_q20_shared__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,773,0
r2_s_pct_w250_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4556,0
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,327,0
r2_s_pct_w250_q20_shared__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4111,0
r2_s_pct_w250_q20_shared__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,327,0
