candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pcvt_w120_q20_shared__d3__g2,r2_s_pcvt_w120_q20_shared,S_PCVT,120,3,2,376,298,0.5311118667120027,0.7321178120617111,0.0050568900126422255,0.015957446808510637,0.0,11,0.1909814323607427,2.0
r2_s_pcvt_w120_qv30_primary__d1__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,0,2179,704,1.0,0.0,0.0,0.0,0.0,11,0.1526508226691042,2.5
r2_s_pcvt_w120_qv30_primary__d1__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,1,2104,704,1.0,0.0,0.015651085141903172,0.03564638783269962,0.0,11,0.155229531471841,3.0
r2_s_pcvt_w120_qv30_primary__d1__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,1,2,2056,704,1.0,0.0,0.03423423423423423,0.05982490272373541,0.0,11,0.15682478218780252,3.5
r2_s_pcvt_w120_qv30_primary__d2__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,0,1109,579,0.7657105320779505,0.49105094079853145,0.0,0.0,0.0,11,0.1500449236298293,2.0
r2_s_pcvt_w120_qv30_primary__d2__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,1,1087,579,0.7657105320779505,0.49105094079853145,0.006174571989896155,0.020239190432382703,0.0,11,0.152153987167736,2.3333333333333335
r2_s_pcvt_w120_qv30_primary__d2__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,2,2,1075,579,0.7657105320779505,0.49105094079853145,0.012721238938053098,0.03162790697674418,0.0,11,0.15185185185185185,2.6666666666666665
r2_s_pcvt_w120_qv30_primary__d3__g0,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,0,580,390,0.5340486095905408,0.7338228545204222,0.0,0.0,0.0,11,0.1783876500857633,2.0
r2_s_pcvt_w120_qv30_primary__d3__g1,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,1,573,390,0.5340486095905408,0.7338228545204222,0.002845528455284553,0.012216404886561954,0.0,11,0.17881944444444445,2.25
r2_s_pcvt_w120_qv30_primary__d3__g2,r2_s_pcvt_w120_qv30_primary,S_PCVT,120,3,2,570,390,0.5340486095905408,0.7338228545204222,0.005254648342764754,0.017543859649122806,0.0,11,0.17801047120418848,2.25
r2_s_pcvt_w250_q20_shared__d1__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,0,1024,520,1.0,0.0,0.0,0.0,0.0,10,0.2248062015503876,2.5
r2_s_pcvt_w250_q20_shared__d1__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,1,1003,520,1.0,0.0,0.009519492293744334,0.020937188434695914,0.0,10,0.2250740375123396,3.0
r2_s_pcvt_w250_q20_shared__d1__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,1,2,985,520,1.0,0.0,0.025,0.03959390862944162,0.0,10,0.22690763052208834,3.0
r2_s_pcvt_w250_q20_shared__d2__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,0,532,358,0.7704153056462902,0.48046875,0.0,0.0,0.0,10,0.22242990654205608,2.0
r2_s_pcvt_w250_q20_shared__d2__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,1,525,358,0.7704153056462902,0.48046875,0.004186602870813397,0.013333333333333334,0.0,10,0.22264150943396227,2.3333333333333335
r2_s_pcvt_w250_q20_shared__d2__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,2,2,519,358,0.7704153056462902,0.48046875,0.011202830188679245,0.025048169556840076,0.0,10,0.22285714285714286,2.3333333333333335
r2_s_pcvt_w250_q20_shared__d3__g0,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,0,275,226,0.5305646290247317,0.7314453125,0.0,0.0,0.0,10,0.2158273381294964,1.75
r2_s_pcvt_w250_q20_shared__d3__g1,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,1,273,226,0.5305646290247317,0.7314453125,0.0017497812773403325,0.007326007326007326,0.0,10,0.21299638989169675,2.0
r2_s_pcvt_w250_q20_shared__d3__g2,r2_s_pcvt_w250_q20_shared,S_PCVT,250,3,2,272,226,0.5305646290247317,0.7314453125,0.0034873583260680036,0.011029411764705883,0.0,10,0.213768115942029,2.0
r2_s_pcvt_w250_qv30_primary__d1__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,0,1674,640,1.0,0.0,0.0,0.0,0.0,10,0.2143280047365305,2.5
r2_s_pcvt_w250_qv30_primary__d1__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,1,1625,640,1.0,0.0,0.013108614232209739,0.030153846153846153,0.0,10,0.21424223980523432,3.0
r2_s_pcvt_w250_qv30_primary__d1__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,1,2,1592,640,1.0,0.0,0.02967741935483871,0.05150753768844221,0.0,10,0.2153941651148355,3.5
r2_s_pcvt_w250_qv30_primary__d2__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,0,869,481,0.7758284600389863,0.480884109916368,0.0,0.0,0.0,10,0.20842824601366744,2.3333333333333335
r2_s_pcvt_w250_qv30_primary__d2__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,1,851,481,0.7758284600389863,0.480884109916368,0.006338028169014085,0.021151586368977675,0.0,10,0.2074159907300116,2.3333333333333335
r2_s_pcvt_w250_qv30_primary__d2__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,2,2,840,481,0.7758284600389863,0.480884109916368,0.013869625520110958,0.034523809523809526,0.0,10,0.20750293083235638,2.6666666666666665
r2_s_pcvt_w250_qv30_primary__d3__g0,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,0,464,336,0.5502645502645502,0.7228195937873357,0.0,0.0,0.0,10,0.19402985074626866,2.0
r2_s_pcvt_w250_qv30_primary__d3__g1,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,1,458,336,0.5502645502645502,0.7228195937873357,0.003009027081243731,0.013100436681222707,0.0,10,0.19181034482758622,2.0
r2_s_pcvt_w250_qv30_primary__d3__g2,r2_s_pcvt_w250_qv30_primary,S_PCVT,250,3,2,456,336,0.5502645502645502,0.7228195937873357,0.004995004995004995,0.017543859649122806,0.0,10,0.19047619047619047,2.25
