gate_id,state_line,metric_id,operator,threshold,admissible_threshold,scope_rule,evaluator_id,violation_population_key,fail_closed,zero_tolerance
prequalification_censor_included_in_drop_denominator,GLOBAL,prequalification_censor_included_in_drop_denominator,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__prequalification_censor_included_in_drop_denominator,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
forbidden_output_field,GLOBAL,forbidden_output_field,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__forbidden_output_field,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
transition_closure_violation,GLOBAL,transition_closure_violation,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__transition_closure_violation,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
asof_membership_leakage,GLOBAL,asof_membership_leakage,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__asof_membership_leakage,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
unqualified_reentry_unfinalized,GLOBAL,unqualified_reentry_unfinalized,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__unqualified_reentry_unfinalized,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
censor_contamination,GLOBAL,censor_contamination,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__censor_contamination,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
raw_false_gap_days_exceed_g,GLOBAL,raw_false_gap_days_exceed_g,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__raw_false_gap_days_exceed_g,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
preconfirmation_days_exceed_k_minus_one_bound,GLOBAL,preconfirmation_days_exceed_k_minus_one_bound,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__preconfirmation_days_exceed_k_minus_one_bound,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
total_nonconfirmed_gap_days_exceed_k_bound,GLOBAL,total_nonconfirmed_gap_days_exceed_k_bound,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__total_nonconfirmed_gap_days_exceed_k_bound,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
event_zone_revision_regression,GLOBAL,event_zone_revision_regression,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__event_zone_revision_regression,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
status_asof_timeline_gap,GLOBAL,status_asof_timeline_gap,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__status_asof_timeline_gap,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
strict_core_shell_reconciliation_mismatch,GLOBAL,strict_core_shell_reconciliation_mismatch,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__strict_core_shell_reconciliation_mismatch,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
