calendar_year,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,min_value,q05_value,median_value,q95_value,max_value,unique_security_count,valid_security_count
2021,A1_LogBodyCenterToMACloudCenter_5_60,173626,168311,0.9693882252658012,0,0.0,2.019977962675057e-09,0.0028090991678357824,0.032192930131388575,0.1304833508122667,0.6756876656610489,731,725
2021,A2_BodyCenterOutsideMACloudRate20_5_60,173626,166585,0.9594473177980256,794,0.004766335504397154,0.0,0.2,0.5,0.8,1.0,731,723
2021,A2b_BodyToMACloudGapMean20_5_60,173626,166585,0.9594473177980256,2052,0.012318035837560404,0.0,0.0006434777963071526,0.004589397926936867,0.015245672746350988,0.10301032734158973,731,723
2022,A1_LogBodyCenterToMACloudCenter_5_60,180993,176246,0.9737724663384771,0,0.0,3.4855186115123615e-07,0.002739830151409439,0.031515462043039566,0.11747240318580832,0.5756870177182494,764,757
2022,A2_BodyCenterOutsideMACloudRate20_5_60,180993,174820,0.9658937085964651,1129,0.006458071158906304,0.0,0.15,0.5,0.8,1.0,764,755
2022,A2b_BodyToMACloudGapMean20_5_60,180993,174820,0.9658937085964651,2975,0.017017503718110057,0.0,0.0005127995348901182,0.004316210295452349,0.0129523005986899,0.0822637955758779,764,755
2023,A1_LogBodyCenterToMACloudCenter_5_60,187217,184510,0.985540842979003,0,0.0,2.4019747435488625e-07,0.002175654728091248,0.024122142915601774,0.09102865574851875,0.44934435631066627,781,780
2023,A2_BodyCenterOutsideMACloudRate20_5_60,187217,183546,0.9803917379297821,929,0.005061401501530951,0.0,0.2,0.5,0.8,1.0,781,779
2023,A2b_BodyToMACloudGapMean20_5_60,187217,183546,0.9803917379297821,2533,0.013800355224303444,0.0,0.00048820759889507405,0.0033608000584396617,0.01046637908939203,0.04395585272342921,781,779
2024,A1_LogBodyCenterToMACloudCenter_5_60,190212,188289,0.9898902277458835,0,0.0,3.5139300891273706e-07,0.0028337040860776596,0.03101151093802823,0.12153573067105852,0.7242443309751998,791,789
2024,A2_BodyCenterOutsideMACloudRate20_5_60,190212,187774,0.9871827224360188,1408,0.007498375706966886,0.0,0.15,0.5,0.8,1.0,791,788
2024,A2b_BodyToMACloudGapMean20_5_60,190212,187774,0.9871827224360188,3334,0.01775538679476392,0.0,0.0005491710189149246,0.0041903114524521005,0.016879606019609087,0.1105009072095422,791,788
2025,A1_LogBodyCenterToMACloudCenter_5_60,192963,190550,0.9874950119971186,0,0.0,1.0966439756288082e-07,0.002084382801182905,0.024022629282806074,0.10900138240245773,0.7947215781715684,799,795
2025,A2_BodyCenterOutsideMACloudRate20_5_60,192963,189849,0.9838621911972761,1293,0.006810675852914685,0.0,0.15,0.5,0.8,1.0,799,795
2025,A2b_BodyToMACloudGapMean20_5_60,192963,189849,0.9838621911972761,3000,0.015802032141333376,0.0,0.00041590020684464154,0.0033910136177765617,0.013771444867123752,0.07725947187056077,799,795
2026,A1_LogBodyCenterToMACloudCenter_5_60,92782,91531,0.9865167812722295,0,0.0,2.99201755815659e-07,0.0030296682119681506,0.03510985988941151,0.13706681660863218,0.554405422806143,800,800
2026,A2_BodyCenterOutsideMACloudRate20_5_60,92782,91116,0.9820439309348796,453,0.004971684446200448,0.0,0.2,0.55,0.85,1.0,800,800
2026,A2b_BodyToMACloudGapMean20_5_60,92782,91116,0.9820439309348796,1093,0.011995697791825804,0.0,0.0006690612801078189,0.004711500426673787,0.015943694700975498,0.054327684623934405,800,800
