security_id,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,first_date,last_date,first_valid_date,last_valid_date,min_value,median_value,max_value
000088.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2353,0.9241948153967007,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.515879144431409e-06,0.016245364715119948,0.34449988841363144
000088.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2296,0.9018067556952082,2,0.0008710801393728223,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000088.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2296,0.9018067556952082,22,0.009581881533101045,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0022151016370903333,0.024200437866124736
000100.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2113,0.8299293008641005,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.1150107468882453e-05,0.027764436484549293,0.22194320119522848
000100.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2037,0.8000785545954439,5,0.002454590083456063,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000100.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2037,0.8000785545954439,16,0.007854688267059401,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.003700498473731173,0.020963734896736287
000155.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,1811,0.711311861743912,0,0.0,2016-01-04,2026-06-30,2018-03-19,2026-06-30,5.736696633862337e-05,0.03382901011100392,0.3672409734744968
000155.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,1735,0.6814611154752553,19,0.01095100864553314,2016-01-04,2026-06-30,2018-04-17,2026-06-30,0.0,0.5,0.95
000155.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,1735,0.6814611154752553,32,0.018443804034582133,2016-01-04,2026-06-30,2018-04-17,2026-06-30,0.0,0.004198866104697307,0.03941493371615477
000157.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2487,0.9768263943440691,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,2.3755560400573472e-05,0.022303647228536505,0.19697759053012565
000157.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2468,0.969363707776905,23,0.009319286871961102,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000157.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2468,0.969363707776905,32,0.012965964343598054,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0031914489255067567,0.02104131959357449
