security_id,indicator_id,row_count,present_count,valid_count,valid_rate_expected,valid_rate_present,unknown_count,blocked_count,diagnostic_required_count,first_date,last_date,first_valid_date,last_valid_date
000301.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2375,1947,0.7647289866457188,0.8197894736842105,78,521,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000333.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2496,2210,0.8680282796543598,0.8854166666666666,59,277,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000333.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2496,2137,0.8393558523173605,0.8561698717948718,78,331,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000333.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2496,2137,0.8393558523173605,0.8561698717948718,78,331,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000338.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2544,2426,0.9528672427336999,0.9536163522012578,59,61,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000338.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2544,2388,0.9379418695993715,0.9386792452830188,78,80,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000338.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2544,2388,0.9379418695993715,0.9386792452830188,78,80,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000400.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000400.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000400.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000408.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2507,2004,0.7871170463472114,0.79936178699641,59,483,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
