indicator_id,tail,rank,security_id,trading_date,observation_sequence,raw_value
A2b_BodyToMACloudGapMean20_5_60,lower,18,000001.SZ,2024-12-04,2167,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,19,000001.SZ,2024-12-05,2168,0.0
A2b_BodyToMACloudGapMean20_5_60,lower,20,000001.SZ,2024-12-06,2169,0.0
A2b_BodyToMACloudGapMean20_5_60,upper,1,000062.SZ,2024-09-09,2112,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,2,000062.SZ,2024-09-10,2113,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,3,000062.SZ,2024-09-11,2114,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,4,000062.SZ,2024-09-12,2115,0.1105009072095422
A2b_BodyToMACloudGapMean20_5_60,upper,5,000062.SZ,2024-09-06,2111,0.10922267468659697
A2b_BodyToMACloudGapMean20_5_60,upper,6,002583.SZ,2024-10-31,2143,0.10805151872803138
A2b_BodyToMACloudGapMean20_5_60,upper,7,000062.SZ,2024-09-13,2116,0.10767864274469327
A2b_BodyToMACloudGapMean20_5_60,upper,8,002583.SZ,2024-11-01,2144,0.10565818101193096
A2b_BodyToMACloudGapMean20_5_60,upper,9,002583.SZ,2024-11-04,2145,0.10527719523618669
A2b_BodyToMACloudGapMean20_5_60,upper,10,002583.SZ,2024-10-29,2141,0.10511268592617935
A2b_BodyToMACloudGapMean20_5_60,upper,11,002583.SZ,2024-10-28,2140,0.1051079833891326
A2b_BodyToMACloudGapMean20_5_60,upper,12,002583.SZ,2024-10-25,2139,0.1041014684479465
A2b_BodyToMACloudGapMean20_5_60,upper,13,000062.SZ,2024-09-05,2110,0.1036210075368634
A2b_BodyToMACloudGapMean20_5_60,upper,14,002583.SZ,2024-10-30,2142,0.10327175890863441
A2b_BodyToMACloudGapMean20_5_60,upper,15,000537.SZ,2021-09-27,1396,0.10301032734158973
A2b_BodyToMACloudGapMean20_5_60,upper,16,000537.SZ,2021-09-28,1397,0.10301032734158973
A2b_BodyToMACloudGapMean20_5_60,upper,17,000537.SZ,2021-09-29,1398,0.10301032734158973
A2b_BodyToMACloudGapMean20_5_60,upper,18,000537.SZ,2021-09-30,1399,0.10301032734158973
A2b_BodyToMACloudGapMean20_5_60,upper,19,000537.SZ,2021-10-08,1400,0.10301032734158973
A2b_BodyToMACloudGapMean20_5_60,upper,20,000537.SZ,2021-10-11,1401,0.10290366479691263
