upstream_task,scope_id,year,metric,actual_value,expected_value,absolute_difference,mismatch_count,status
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,pooled,year_hhi,0.14240700698751244,0.14240700698751244,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2016,year_state_true_count,0,0,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2016,year_state_share,0.0,0.0,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2017,year_state_true_count,1181,1181,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2017,year_state_share,0.034118156868409646,0.034118156868409646,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2018,year_state_true_count,1788,1788,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2018,year_state_share,0.05165390726563628,0.05165390726563628,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2019,year_state_true_count,4700,4700,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2019,year_state_share,0.13577928643651596,0.13577928643651596,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2020,year_state_true_count,2235,2235,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2020,year_state_share,0.06456738408204536,0.06456738408204536,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2021,year_state_true_count,3030,3030,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2021,year_state_share,0.08753430593673263,0.08753430593673263,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2022,year_state_true_count,4460,4460,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2022,year_state_share,0.1288458760652896,0.1288458760652896,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2023,year_state_true_count,7212,7212,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2023,year_state_share,0.20834898165535173,0.20834898165535173,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2024,year_state_true_count,2058,2058,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2024,year_state_share,0.059453993933265926,0.059453993933265926,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2025,year_state_true_count,7294,7294,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2025,year_state_share,0.21071789686552073,0.21071789686552073,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2026,year_state_true_count,657,657,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|raw,2026,year_state_share,0.018980210891232124,0.018980210891232124,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,valid_day_count,1503671,1503671,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,unknown_day_count,226030,226030,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,blocked_day_count,1068,1068,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,state_true_day_count,10854,10854,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,state_false_day_count,1492817,1492817,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,state_null_day_count,227098,227098,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,coverage,0.006271200836160112,0.006271200836160112,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,max_year_share,0.21715496591118483,0.21715496591118483,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,year_hhi,0.1464065880834076,0.1464065880834076,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2016,year_state_true_count,0,0,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2016,year_state_share,0.0,0.0,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2017,year_state_true_count,391,391,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2017,year_state_share,0.03602358577482956,0.03602358577482956,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2018,year_state_true_count,531,531,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2018,year_state_share,0.04892205638474295,0.04892205638474295,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2019,year_state_true_count,1373,1373,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2019,year_state_share,0.12649714391007924,0.12649714391007924,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2020,year_state_true_count,691,691,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2020,year_state_share,0.0636631656532154,0.0636631656532154,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2021,year_state_true_count,857,857,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2021,year_state_share,0.07895706651925558,0.07895706651925558,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2022,year_state_true_count,1494,1494,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2022,year_state_share,0.13764510779436154,0.13764510779436154,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2023,year_state_true_count,2349,2349,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2023,year_state_share,0.21641791044776118,0.21641791044776118,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2024,year_state_true_count,608,608,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2024,year_state_share,0.05601621522019532,0.05601621522019532,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2025,year_state_true_count,2357,2357,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2025,year_state_share,0.21715496591118483,0.21715496591118483,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2026,year_state_true_count,203,203,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,2026,year_state_share,0.018702782384374426,0.018702782384374426,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,confirmed_interval_count,4884,4884,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCT|confirmed,pooled,confirmed_total_duration,10854,10854,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,valid_day_count,1601692,1601692,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,unknown_day_count,127424,127424,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,blocked_day_count,1653,1653,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,state_true_day_count,10768,10768,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,state_false_day_count,1590924,1590924,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,state_null_day_count,129077,129077,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,coverage,0.006221511940646037,0.006221511940646037,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,max_year_share,0.14951708766716196,0.14951708766716196,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,year_hhi,0.11303061572564353,0.11303061572564353,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2016,year_state_true_count,97,97,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2016,year_state_share,0.00900817236255572,0.00900817236255572,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2017,year_state_true_count,750,750,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2017,year_state_share,0.06965081723625557,0.06965081723625557,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2018,year_state_true_count,960,960,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2018,year_state_share,0.08915304606240713,0.08915304606240713,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2019,year_state_true_count,1219,1219,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2019,year_state_share,0.11320579494799406,0.11320579494799406,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2020,year_state_true_count,960,960,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2020,year_state_share,0.08915304606240713,0.08915304606240713,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2021,year_state_true_count,1138,1138,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2021,year_state_share,0.10568350668647845,0.10568350668647845,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2022,year_state_true_count,1557,1557,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2022,year_state_share,0.14459509658246658,0.14459509658246658,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2023,year_state_true_count,1610,1610,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2023,year_state_share,0.14951708766716196,0.14951708766716196,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2024,year_state_true_count,726,726,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2024,year_state_share,0.06742199108469539,0.06742199108469539,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2025,year_state_true_count,1521,1521,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2025,year_state_share,0.1412518573551263,0.1412518573551263,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2026,year_state_true_count,230,230,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|raw,2026,year_state_share,0.02135958395245171,0.02135958395245171,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,valid_day_count,1601692,1601692,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,unknown_day_count,127424,127424,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,blocked_day_count,1653,1653,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,state_true_day_count,2941,2941,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,state_false_day_count,1598751,1598751,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,state_null_day_count,129077,129077,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,coverage,0.0016992446710104006,0.0016992446710104006,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,max_year_share,0.16865011900714044,0.16865011900714044,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,year_hhi,0.1159749353747352,0.1159749353747352,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2016,year_state_true_count,28,28,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2016,year_state_share,0.009520571234274057,0.009520571234274057,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2017,year_state_true_count,230,230,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2017,year_state_share,0.0782046922815369,0.0782046922815369,0.0,0,matched
