task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,calendar_year_clipped_segment_count,calendar_year_clipped_duration_total,calendar_year_clipped_mean_duration,calendar_year_clipped_median_duration,calendar_year_clipped_q10,calendar_year_clipped_q25,calendar_year_clipped_q75,calendar_year_clipped_q90,calendar_year_clipped_max_duration,calendar_year_clipped_fragment_count,calendar_year_clipped_fragment_rate,partial_year_observation,geometry_semantics
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2026,33,60,1.8181818181818181,1.0,1.0,1.0,2.0,3.8000000000000007,5,19,0.5757575757575758,True,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2016,0,0,,,,,,,,0,,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2017,32,76,2.375,2.0,1.0,1.0,3.0,4.0,8,10,0.3125,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2018,67,138,2.0597014925373136,1.0,1.0,1.0,3.0,4.0,8,36,0.5373134328358209,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2019,143,267,1.867132867132867,2.0,1.0,1.0,2.0,3.0,9,70,0.48951048951048953,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2020,71,161,2.267605633802817,2.0,1.0,1.0,3.0,5.0,7,32,0.4507042253521127,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2021,95,183,1.9263157894736842,1.0,1.0,1.0,2.0,4.0,9,55,0.5789473684210527,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2022,149,353,2.3691275167785233,2.0,1.0,1.0,3.0,5.0,12,64,0.42953020134228187,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2023,232,470,2.0258620689655173,2.0,1.0,1.0,3.0,4.0,12,115,0.4956896551724138,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2024,69,141,2.0434782608695654,1.0,1.0,1.0,3.0,4.200000000000003,8,36,0.5217391304347826,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2025,154,320,2.0779220779220777,2.0,1.0,1.0,3.0,4.0,7,75,0.487012987012987,False,trading_year_clipped_confirmed_runs
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2026,20,34,1.7,1.5,1.0,1.0,2.0,3.0,4,10,0.5,True,trading_year_clipped_confirmed_runs
