scope_type,candidate_config_id,state_line,W,q,K,removed_year,confirmed_state_days_without_year,confirmed_coverage_without_year,confirmed_interval_count_without_confirmation_year,max_remaining_year_share,remaining_year_hhi,pooled_sign,leave_one_out_sign,sign_flip,relative_count_change,relative_metric_change,removed_year_denominator_share,removed_year_state_or_child_share,partial_year_removed,step_id,N_without_year,n11_without_year,n10_without_year,n01_without_year,n00_without_year,retention_without_year,target_marginal_without_year,lift_without_year,delta_without_year,pooled_delta_sign,leave_one_out_delta_sign,pooled_lift_excess_sign,leave_one_out_lift_excess_sign
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2022,2445,0.001577387807082568,1218,0.18159509202453988,0.126648349580338,positive,positive,False,-0.16865011900714044,-0.07171237080024168,0.10442641392352185,0.16865011900714044,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2023,2497,0.0016176019973530148,1217,0.1986383660392471,0.12926797699891052,positive,positive,False,-0.1509690581434886,-0.048046449725712315,0.10811725886007896,0.1509690581434886,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2024,2758,0.0017900965730489862,1332,0.1798404641044235,0.12747332435512276,positive,positive,False,-0.06222373342400544,0.0534660508804559,0.1098182368646538,0.06222373342400544,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2025,2532,0.001646221103358239,1231,0.19589257503949448,0.13037574028735505,positive,positive,False,-0.13906834410064603,-0.031204198286896953,0.11133837040067161,0.13906834410064603,False,,,,,,,,,,,,,,
candidate_state,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,2026,2881,0.0017587631395967116,1393,0.17216244359597363,0.1204221219323336,positive,positive,False,-0.020401224073444406,0.0350264265068551,0.053551918251366876,0.020401224073444406,True,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2016,2143,0.0013324197688068284,1024,0.21931871208586096,0.13597646919976683,positive,positive,False,0.0,0.07611331350351175,0.07072983165286645,0.0,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2017,2067,0.0012938448788280157,992,0.2273826802128689,0.1448076285275398,positive,positive,False,-0.03546430237984134,0.044958752722485354,0.07696289915060878,0.03546430237984134,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2018,2005,0.0012621819443141694,957,0.2344139650872818,0.1506013022307075,positive,positive,False,-0.06439570695286981,0.019386552299902403,0.08218889984740887,0.06439570695286981,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2019,1876,0.0011894654950389272,881,0.2505330490405117,0.1571801364787394,positive,positive,False,-0.1245916938870742,-0.03934204135182963,0.08874090072100899,0.1245916938870742,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2020,1982,0.0012639895003415068,953,0.23713420787083753,0.15236625084896258,positive,positive,False,-0.0751283247783481,0.020846403880807073,0.09401485697975871,0.0751283247783481,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2021,1960,0.001258426158313863,929,0.23979591836734693,0.15383590170762182,positive,positive,False,-0.08539430704619692,0.0163532354637082,0.10011041334805511,0.08539430704619692,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2022,1790,0.001154815613365152,878,0.26256983240223464,0.1560051184419962,positive,positive,False,-0.16472235184321046,-0.06732661487242601,0.10442641392352185,0.16472235184321046,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2023,1673,0.0010837998164083275,795,0.2109982068141064,0.1441855080997053,positive,positive,False,-0.21931871208586096,-0.12468169647912983,0.10811725886007896,0.21931871208586096,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2024,2002,0.0012994102027715992,956,0.23476523476523475,0.15084416083417082,positive,positive,False,-0.06579561362575828,0.04945352181091839,0.1098182368646538,0.06579561362575828,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2025,1823,0.0011852531877654304,870,0.2578167855183763,0.15709097714971942,positive,positive,False,-0.14932337844143723,-0.04274406227924107,0.11133837040067161,0.14932337844143723,False,,,,,,,,,,,,,,
candidate_state,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,2026,2109,0.0012874805489099148,1005,0.22285443338074917,0.1401361682113348,positive,positive,False,-0.015865608959402706,0.03981867576120605,0.053551918251366876,0.015865608959402706,True,,,,,,,,,,,,,,
interlayer_step,,,120,0.2,,2016,,,,,,delta:positive|lift_excess:positive,delta:positive|lift_excess:positive,False,-0.017797229140204585,-0.014878413208384013,0.017797229140204585,0.04328670026821482,False,C_GIVEN_P,1535731,138755,171534,213492,1011950,0.4471798871374751,0.22936764316146513,1.949620622045104,0.21781224397600996,positive,positive,positive,positive
interlayer_step,,,120,0.2,,2017,,,,,,delta:positive|lift_excess:positive,delta:positive|lift_excess:positive,False,-0.0770793280453939,-0.015153547574255528,0.0770793280453939,0.06814311225721043,False,C_GIVEN_P,1443040,135150,164326,201853,941711,0.45128825014358415,0.2335368388956647,1.9324071194832024,0.21775141124791944,positive,positive,positive,positive
