task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,eligible_trading_days,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_count,raw_state_false_count,raw_state_null_count,raw_unique_security_count,raw_onset_count,confirmed_state_true_count,confirmed_state_false_count,confirmed_state_null_count,confirmed_unique_security_count,raw_coverage,raw_valid_hit_rate,confirmed_coverage,confirmed_valid_hit_rate,denominator_share,valid_denominator_share,raw_state_year_share,confirmed_state_year_share,partial_year_observation
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2019,153590,148668,4724,198,0,1219,147449,4922,330,606,317,148351,4922,136,0.007936714629858715,0.008199478031587161,0.0020639364541962368,0.002132267872037022,0.08874090072100899,0.092819343544202,0.11320579494799406,0.10778646718803128,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2020,162718,156039,6532,147,0,960,155079,6679,284,490,240,155799,6679,100,0.005899777529222335,0.006152308076826947,0.0014749443823055838,0.0015380770192067368,0.09401485697975871,0.09742135192034423,0.08915304606240713,0.08160489629377762,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2021,173268,166834,6194,240,0,1138,165696,6434,323,542,292,166542,6434,129,0.006567860193457534,0.006821151563829915,0.001685250594454833,0.0017502427562727022,0.10011041334805511,0.10416109963713373,0.10568350668647845,0.09928595715742945,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2022,180738,175725,4869,144,0,1557,174168,5013,380,702,496,175229,5013,176,0.008614679812767652,0.00886043533930858,0.002744303909526497,0.002822592118366766,0.10442641392352185,0.1097121044495446,0.14459509658246658,0.16865011900714044,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2023,187126,183436,3530,160,0,1610,181826,3690,433,769,444,182992,3690,169,0.008603828436454582,0.008776903116073181,0.002372732811047102,0.0024204627226934736,0.10811725886007896,0.11452638834432588,0.14951708766716196,0.1509690581434886,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2024,190070,188457,1439,174,0,726,187731,1613,233,359,183,188274,1613,84,0.0038196453938022833,0.003852337668539773,0.0009628031777766086,0.0009710437924831659,0.1098182368646538,0.11766119828281592,0.06742199108469539,0.06222373342400544,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2025,192701,191368,1187,146,0,1521,189847,1333,401,735,409,190959,1333,161,0.007893057119579036,0.007948037289410978,0.0021224591465534687,0.0021372434262781656,0.11133837040067161,0.11947865132622253,0.1412518573551263,0.13906834410064603,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2026,92686,92069,562,55,0,230,91839,617,82,112,60,92009,617,29,0.0024814966661631747,0.002498126405196103,0.0006473469563903933,0.000651685149181592,0.053551918251366876,0.05748233742816971,0.02135958395245171,0.020401224073444406,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2016,122417,0,122417,0,0,0,0,122417,0,0,0,0,122417,0,0.0,,0.0,,0.07072983165286645,0.0,0.0,0.0,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2017,133205,94589,38565,51,0,248,94341,38616,72,118,76,94513,38616,27,0.0018617919747757217,0.002621869350558733,0.0005705491535603018,0.0008034760913002569,0.07696289915060878,0.06291814501591761,0.03155216284987277,0.03546430237984134,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2018,142250,133028,9198,24,0,525,132503,9222,165,254,138,132890,9222,62,0.0036906854130052723,0.003946537571037676,0.0009701230228471002,0.001037375590101332,0.08218889984740887,0.08848676902364427,0.06679389312977099,0.06439570695286981,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2019,153590,144923,8434,233,0,1048,143875,8667,280,514,267,144656,8667,119,0.00682336089589166,0.007231426343644556,0.0017383944267204895,0.0018423576657949393,0.08874090072100899,0.09639901394603842,0.13333333333333333,0.1245916938870742,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2020,162718,151498,11166,54,0,546,150952,11220,155,256,161,151337,11220,60,0.0033554984697452034,0.003604007973702623,0.0009894418564633293,0.001062720299937953,0.09401485697975871,0.10077253310238492,0.06946564885496183,0.0751283247783481,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2021,173268,160676,12407,185,0,743,159933,12592,220,363,183,160493,12592,77,0.0042881547660271946,0.004624212701336851,0.0010561673246069672,0.0011389379870049043,0.10011041334805511,0.1068775002228333,0.094529262086514,0.08539430704619692,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2022,180738,171001,9622,115,0,1169,169832,9737,275,533,353,170648,9737,122,0.006467925948057409,0.006836217332062386,0.0019531033872234947,0.0020643154133601557,0.10442641392352185,0.11374542193983368,0.14872773536895675,0.16472235184321046,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2023,187126,179443,7500,183,0,1757,177686,7683,436,838,470,178973,7683,184,0.009389395380652608,0.009791410085653941,0.002511676624306617,0.00261921612991312,0.10811725886007896,0.11936082098437772,0.22353689567430027,0.21931871208586096,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2024,190070,186339,3646,85,0,502,185837,3731,149,239,141,186198,3731,61,0.002641132214447309,0.0026940146721834935,0.0007418319566475509,0.0007566853959718577,0.1098182368646538,0.12394786099991618,0.0638676844783715,0.06579561362575828,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2025,192701,190225,2371,105,0,1202,189023,2476,310,578,320,189905,2476,128,0.006237642773000659,0.006318832960967275,0.0016606037332447677,0.0016822184255486923,0.11133837040067161,0.1265327272267698,0.1529262086513995,0.14932337844143723,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2026,92686,91644,1000,42,0,120,91524,1042,39,54,34,91610,1042,16,0.0012946939127807867,0.00130941469163284,0.00036682994195455623,0.0003710008292959714,0.053551918251366876,0.06095920753828409,0.015267175572519083,0.015865608959402706,True
