pair_id,security_id,common_count,eligible,pearson_raw,spearman_midrank,reason
A1_A2,002821.SZ,2255,True,0.4559558511085398,0.4864848578025863,
A1_A2,002831.SZ,2235,True,0.42201721415604276,0.46644916669568953,
A1_A2,002837.SZ,1997,True,0.377885683307657,0.37889399387960654,
A1_A2,002841.SZ,2212,True,0.3281100277655887,0.3752939962831481,
A1_A2,002850.SZ,2187,True,0.4803642282589958,0.4963431082102595,
A1_A2,002851.SZ,1910,True,0.4098110245303784,0.426661996836366,
A1_A2,002916.SZ,1978,True,0.4739452213887894,0.5064927970896383,
A1_A2,002920.SZ,1984,True,0.4434424430848297,0.4604007332220275,
A1_A2,002926.SZ,1956,True,0.3667644677795961,0.3984657738155075,
A1_A2,002938.SZ,1805,True,0.5272853825227268,0.5195145867059126,
A1_A2,002939.SZ,1783,True,0.28831799688290144,0.3461198950862333,
A1_A2,002945.SZ,1726,True,0.2005505859211853,0.30092744866769777,
A1_A2,002966.SZ,1595,True,0.30340629716948936,0.3640431871663137,
A1_A2,002984.SZ,1324,True,0.4480978352966804,0.3971113943273925,
A1_A2,003021.SZ,1270,True,0.3292011994225271,0.35188091010286104,
A1_A2,003022.SZ,1268,True,0.41466897167068595,0.4483743669734585,
A1_A2,003031.SZ,1162,True,0.4983543648090504,0.500210405330835,
A1_A2,003035.SZ,1239,True,0.37151547110813443,0.4579432413048042,
A1_A2,003816.SZ,1579,True,0.4398173630314805,0.4565779049532453,
A1_A2,300001.SZ,2419,True,0.4305224783181768,0.4315616586211744,
A1_A2,300002.SZ,2468,True,0.40166064181857186,0.43195742221123457,
A1_A2,300003.SZ,2351,True,0.4053760669305928,0.40892478119481934,
A1_A2,300012.SZ,2385,True,0.4001819045627526,0.41614679704322505,
A1_A2,300014.SZ,2468,True,0.4402789801390861,0.4186753585736909,
A1_A2,300015.SZ,2062,True,0.3175633390457439,0.37776119471254116,
A1_A2,300017.SZ,2294,True,0.3650502460198234,0.3967952665021611,
A1_A2,300024.SZ,2468,True,0.32098121637821825,0.38888400110147064,
A1_A2,300033.SZ,2389,True,0.37879586862101955,0.4468244323203276,
A1_A2,300037.SZ,2468,True,0.4292479251016231,0.4556036079234497,
A1_A2,300054.SZ,2163,True,0.44733659377343826,0.4736217399480842,
A1_A2,300058.SZ,2458,True,0.2617080330482089,0.3589130425589156,
A1_A2,300059.SZ,2389,True,0.37848669829613635,0.43880297636519694,
A1_A2,300073.SZ,2212,True,0.4704047686979646,0.507941286415973,
A1_A2,300100.SZ,2080,True,0.3665125185721356,0.39364881060574475,
A1_A2,300115.SZ,2380,True,0.5086315895085909,0.5058805167345785,
A1_A2,300122.SZ,2468,True,0.45582549417368506,0.5241021994670371,
A1_A2,300124.SZ,2301,True,0.3446506983786314,0.4029275084206629,
A1_A2,300136.SZ,2468,True,0.4839172810209535,0.49148729678041825,
A1_A2,300140.SZ,2001,True,0.399030994244717,0.4490684120630975,
A1_A2,300142.SZ,2211,True,0.48426434055627365,0.5160697221278874,
A1_A2,300144.SZ,2355,True,0.3723541065266108,0.41168144830086234,
A1_A2,300146.SZ,2192,True,0.3700205487646887,0.4503121058557978,
A1_A2,300207.SZ,2299,True,0.43626369068809395,0.4623976438888043,
A1_A2,300223.SZ,1933,True,0.41413460158960175,0.43511558707137254,
A1_A2,300251.SZ,2370,True,0.35396950630069624,0.459451768596543,
A1_A2,300274.SZ,2385,True,0.49866744090706683,0.5132768294012918,
A1_A2,300285.SZ,2099,True,0.4464244473987583,0.4468346120388515,
A1_A2,300308.SZ,2202,True,0.4471684377846704,0.4630386865213152,
A1_A2,300316.SZ,2382,True,0.46655316429309873,0.48403383554856116,
A1_A2,300339.SZ,2132,True,0.36012413106580043,0.399616064034254,
A1_A2,300346.SZ,2382,True,0.35957468492383504,0.38467403284034946,
A1_A2,300373.SZ,2295,True,0.42050062898729906,0.415733601576542,
A1_A2,300383.SZ,2068,True,0.42523002250124275,0.4391433241733224,
A1_A2,300390.SZ,2332,True,0.4209410266368559,0.47589474549430205,
A1_A2,300394.SZ,2300,True,0.40272305642395156,0.441356599089795,
A1_A2,300395.SZ,2468,True,0.45508041428883883,0.45931110812175263,
A1_A2,300408.SZ,2380,True,0.47714142694682554,0.48083654904659257,
A1_A2,300413.SZ,1896,True,0.4676427616331476,0.5084497353955544,
A1_A2,300418.SZ,2385,True,0.4294568888461225,0.49589882337262386,
A1_A2,300432.SZ,2308,True,0.39967412025946863,0.42988582717889895,
A1_A2,300433.SZ,2405,True,0.5090442081605945,0.49832206290974357,
A1_A2,300442.SZ,2296,True,0.4163195526715615,0.4864362678249296,
A1_A2,300450.SZ,2119,True,0.4312042297147056,0.4457247225756291,
A1_A2,300454.SZ,1893,True,0.4241957308035746,0.4793736329999391,
A1_A2,300458.SZ,2380,True,0.4197929269939067,0.4300572650333575,
A1_A2,300474.SZ,2325,True,0.4504832238984343,0.4635129436027701,
