state_name,eligible_day_count,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_day_count,raw_state_false_day_count,raw_state_null_day_count,confirmed_state_true_day_count,confirmed_state_false_day_count,confirmed_state_null_day_count,unique_security_count_raw_true,unique_security_count_confirmed_true,nonzero_year_count_raw,nonzero_year_count_confirmed,candidate_config_id,W,q,K,raw_coverage,confirmed_coverage,year_coverage_raw,year_coverage_confirmed,unknown_ratio,blocked_ratio,diagnostic_required_ratio,raw_segment_count,raw_fragment_rate,raw_average_duration,raw_fragment_denominator_zero,raw_duration_denominator_zero,confirmed_interval_count,confirmed_interval_total_days,confirmed_interval_average_duration,unique_security_count_confirmed_interval,nonzero_year_count_confirmed_interval,confirmed_interval_status
S_PCT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K5_WEAK_D010,250,0.2,5,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1215627,514074,1068,0,0,1215627,515142,0,1215627,515142,0,0,0,0,R0_W250_Q20_K5_WEAK_D010,250,0.2,5,0.0,0.0,0.0,0.0,0.29702057293607637,0.0006170667489422332,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1086781,642325,1663,0,429506,1086781,214482,0,1086781,643988,791,0,10,0,R0_W250_Q30_K2_WEAK_D010,250,0.3,2,0.24815905531009627,0.0,0.9090909090909091,0.0,0.3711211605939325,0.0009608445725570542,0.0,31201,0.07264392115593263,13.765776737925066,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K2_WEAK_D010,250,0.3,2,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K2_WEAK_D010,250,0.3,2,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K2_WEAK_D010,250,0.3,2,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1086781,642325,1663,0,429506,1086781,214482,0,1086781,643988,791,0,10,0,R0_W250_Q30_K3_WEAK_D010,250,0.3,3,0.24815905531009627,0.0,0.9090909090909091,0.0,0.3711211605939325,0.0009608445725570542,0.0,31201,0.07264392115593263,13.765776737925066,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K3_WEAK_D010,250,0.3,3,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K3_WEAK_D010,250,0.3,3,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1086781,642325,1663,0,0,1086781,643988,0,1086781,643988,0,0,0,0,R0_W250_Q30_K3_WEAK_D010,250,0.3,3,0.0,0.0,0.0,0.0,0.3711211605939325,0.0009608445725570542,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
