transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_T,250,0.1,not_applicable,3,0.048082995378666414,0.049913724558642555,0.049364379918222324,0.04633571146095612,19245,0,1.0,0.0694206287347363,0.021337633356069884,0.020056248816513973,0.023084917273780176,""
P_TO_T,250,0.1,not_applicable,5,0.04918827821007999,0.049913724558642555,0.04950609984068902,0.048360001441762925,19245,0,1.0,0.06464016627695506,0.015451888066875065,0.015134066436266032,0.01628016483519213,""
P_TO_T,250,0.1,not_applicable,10,0.05073441053950724,0.049913724558642555,0.050799051579211156,0.05100166598442809,19244,0,1.0,0.04692371648305965,-0.003810694056447586,-0.003875335096151504,-0.004077949501368437,""
P_TO_T,250,0.1,not_applicable,20,0.051040832971271335,0.049913724558642555,0.050984337711679456,0.05124695812591254,19244,0,1.0,0.04468925379339015,-0.006351579177881185,-0.006295083918289306,-0.006557704332522389,""
P_TO_T,250,0.2,not_applicable,1,0.13456567463023866,0.147648128169344,0.15854093142723807,0.12629645044167145,26384,1,0.9999620996778472,0.19973469774493083,0.06516902311469217,0.041193766317692754,0.07343824730325937,""
P_TO_T,250,0.2,not_applicable,3,0.13902324895137322,0.147648128169344,0.14844402253715203,0.13359993071747006,26384,1,0.9999620996778472,0.19984839871138904,0.06082514976001582,0.051404376174237015,0.06624846799391898,""
P_TO_T,250,0.2,not_applicable,5,0.1436645996817209,0.147648128169344,0.14716995044642023,0.14108353862313575,26384,1,0.9999620996778472,0.18055713473564525,0.03689253505392434,0.03338718428922502,0.0394735961125095,""
P_TO_T,250,0.2,not_applicable,10,0.15075371776497018,0.147648128169344,0.15128324952082287,0.1522305500121687,26381,1,0.999962095368054,0.1498370100826321,-0.0009167076823380915,-0.0014462394381907773,-0.0023935399295366144,""
P_TO_T,250,0.2,not_applicable,20,0.15228456696794418,0.147648128169344,0.15204376345620274,0.15342687826608623,26375,1,0.9999620867455262,0.13747346072186836,-0.014811106246075817,-0.014570302734334378,-0.015953417544217863,""
P_TO_T,250,0.3,not_applicable,1,0.22379600175271872,0.25183784835977685,0.2664583310325856,0.20982860013919177,30833,2,0.9999351386411546,0.3120479974055456,0.0882519956528269,0.045589666372960025,0.10221939726635385,""
P_TO_T,250,0.3,not_applicable,3,0.2321789010650818,0.25183784835977685,0.2550366262491909,0.22226806683730146,30833,2,0.9999351386411546,0.3236906113183071,0.09151171025322533,0.06865398506911624,0.10142254448100566,""
P_TO_T,250,0.3,not_applicable,5,0.24135900533670723,0.25183784835977685,0.25212543735896054,0.23619156124639026,30831,2,0.9999351344338858,0.314014205558979,0.07265520022227179,0.061888768200018485,0.07782264431258876,""
P_TO_T,250,0.3,not_applicable,10,0.2576370846307282,0.25183784835977685,0.2588673192038934,0.26051566887759653,30826,2,0.9999351239133255,0.27105229012585963,0.013415205495131421,0.012184970921966243,0.0105366212482631,""
P_TO_T,250,0.3,not_applicable,20,0.2619016239522617,0.25183784835977685,0.26122728579846993,0.2645596111632602,30814,2,0.9999350986500519,0.23643561786085152,-0.02546600609141017,-0.024791667937618417,-0.028123993302408695,""
P_TO_T,500,0.1,not_applicable,1,0.044755305028356694,0.047523211241834624,0.049863860751466135,0.041702407574465285,14435,1,0.9999307287337212,0.06927126627874758,0.024515961250390884,0.019407405527281443,0.027568858704282294,""
P_TO_T,500,0.1,not_applicable,3,0.04576533034134553,0.047523211241834624,0.046676698034314124,0.04413622855920228,14435,1,0.9999307287337212,0.07058742033804379,0.024822089996698257,0.023910722303729662,0.026451191778841504,""
P_TO_T,500,0.1,not_applicable,5,0.04674179831990873,0.047523211241834624,0.046942032822234615,0.04657453088121599,14435,1,0.9999307287337212,0.05915766140205043,0.012415863082141695,0.012215628579815813,0.012583130520834436,""
P_TO_T,500,0.1,not_applicable,10,0.04801522778811174,0.047523211241834624,0.0480887260373394,0.04923327547936292,14435,1,0.9999307287337212,0.045026323081185926,-0.002988904706925817,-0.0030624029561534746,-0.004206952398176991,""
P_TO_T,500,0.1,not_applicable,20,0.048241076160516046,0.047523211241834624,0.04820791502223301,0.049180057359501,14435,1,0.9999307287337212,0.04163203103352729,-0.006609045126988754,-0.006575883988705719,-0.007548026325973706,""
P_TO_T,500,0.2,not_applicable,1,0.13364665380505472,0.1459939509292462,0.15521428224090283,0.12262093554211566,20189,0,1.0,0.19560156520877706,0.061954911403722335,0.04038728296787422,0.0729806296666614,""
P_TO_T,500,0.2,not_applicable,3,0.1376425524084396,0.1459939509292462,0.14569971548244592,0.1302156860197989,20189,0,1.0,0.19763237406508494,0.05998982165664535,0.05193265858263901,0.06741668804528603,""
P_TO_T,500,0.2,not_applicable,5,0.14171852038663557,0.1459939509292462,0.14463787024944696,0.1381147020916704,20189,0,1.0,0.17940462628163853,0.03768610589500296,0.034766756032191565,0.04128992418996813,""
P_TO_T,500,0.2,not_applicable,10,0.1478120490655616,0.1459939509292462,0.1482587669096456,0.14988884707550534,20187,0,1.0,0.1577252687373062,0.009913219671744578,0.009466501827660595,0.007836421661800846,""
P_TO_T,500,0.2,not_applicable,20,0.14955330425346966,0.1459939509292462,0.14933294361940708,0.15178717446001871,20182,0,1.0,0.1373996630660985,-0.012153641187371167,-0.011933280553308584,-0.014387511393920221,""
P_TO_T,500,0.3,not_applicable,1,0.22455767044308717,0.252090130699072,0.2613136244255679,0.2053119221777467,23499,1,0.9999574468085106,0.31374468085106383,0.08918701040797666,0.05243105642549595,0.10843275867331714,""
