security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
002756.SZ,c2_only,baseline_pair,120,0.2,2176,529,541,0.8673647469458988,0.9395085066162571,0.9186691312384473
002773.SZ,c2_only,baseline_pair,120,0.2,2367,572,594,0.821875,0.9195804195804196,0.8855218855218855
002797.SZ,c2_only,baseline_pair,120,0.2,2260,539,557,0.8145695364238411,0.9128014842300557,0.8833034111310593
002812.SZ,c2_only,baseline_pair,120,0.2,2091,510,508,0.850909090909091,0.9176470588235294,0.9212598425196851
002821.SZ,c2_only,baseline_pair,120,0.2,2142,472,505,0.8680688336520076,0.961864406779661,0.899009900990099
002831.SZ,c2_only,baseline_pair,120,0.2,2069,446,482,0.8412698412698413,0.9506726457399103,0.8796680497925311
002837.SZ,c2_only,baseline_pair,120,0.2,1920,487,517,0.8155515370705244,0.9260780287474333,0.8723404255319149
002841.SZ,c2_only,baseline_pair,120,0.2,2102,425,435,0.8297872340425532,0.9176470588235294,0.896551724137931
002850.SZ,c2_only,baseline_pair,120,0.2,1957,482,464,0.8844621513944223,0.921161825726141,0.9568965517241379
002851.SZ,c2_only,baseline_pair,120,0.2,1926,419,440,0.7858627858627859,0.9021479713603818,0.8590909090909091
002916.SZ,c2_only,baseline_pair,120,0.2,1818,386,380,0.8369304556354916,0.9041450777202072,0.9184210526315789
002920.SZ,c2_only,baseline_pair,120,0.2,1878,538,531,0.8591304347826086,0.9182156133828996,0.9303201506591338
002926.SZ,c2_only,baseline_pair,120,0.2,1853,414,463,0.7789046653144016,0.927536231884058,0.8293736501079914
002938.SZ,c2_only,baseline_pair,120,0.2,1702,416,437,0.8423326133909287,0.9375,0.8924485125858124
002939.SZ,c2_only,baseline_pair,120,0.2,1677,369,410,0.7785388127853882,0.924119241192412,0.8317073170731707
002945.SZ,c2_only,baseline_pair,120,0.2,1618,315,333,0.6572890025575447,0.8158730158730159,0.7717717717717718
002966.SZ,c2_only,baseline_pair,120,0.2,1491,377,389,0.8547215496368039,0.9363395225464191,0.9074550128534704
002984.SZ,c2_only,baseline_pair,120,0.2,1223,307,325,0.780281690140845,0.9022801302931596,0.8523076923076923
003021.SZ,c2_only,baseline_pair,120,0.2,1169,276,305,0.7822085889570553,0.9239130434782609,0.8360655737704918
003022.SZ,c2_only,baseline_pair,120,0.2,1167,294,319,0.8408408408408409,0.9523809523809523,0.877742946708464
003031.SZ,c2_only,baseline_pair,120,0.2,1003,243,247,0.8421052631578947,0.9218106995884774,0.9068825910931174
003035.SZ,c2_only,baseline_pair,120,0.2,1065,253,264,0.8076923076923077,0.9130434782608695,0.875
003816.SZ,c2_only,baseline_pair,120,0.2,1474,372,400,0.8557692307692307,0.956989247311828,0.89
300001.SZ,c2_only,baseline_pair,120,0.2,2317,519,523,0.7996545768566494,0.8921001926782274,0.8852772466539197
