source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,row_count,ratio_within_indicator_W
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,share_field_status_invalid,3700,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,turnover_field_status_invalid,1653,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,window_insufficient,63197,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,valid,valid_no_blocker,1567078,0.8702836528102043
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,provider_turnover_crosscheck_fail,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,raw_metric_not_valid,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,share_field_status_invalid,88,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,window_insufficient,3,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,insufficient_strict_past_history,198802,0.11040556420674288
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,raw_metric_not_valid,66722,0.03705435586665275
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,share_field_status_invalid,3700,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,turnover_field_status_invalid,1653,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,window_insufficient,63197,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,valid,valid_no_blocker,1464003,0.8130404986638173
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,provider_turnover_crosscheck_fail,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,raw_metric_not_valid,1242,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,share_field_status_invalid,88,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,window_insufficient,3,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,insufficient_strict_past_history,395537,0.21966321088139185
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,raw_metric_not_valid,66722,0.03705435586665275
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,share_field_status_invalid,3700,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,turnover_field_status_invalid,1653,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,window_insufficient,63197,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,valid,valid_no_blocker,1267268,0.7037828519891683
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,insufficient_strict_past_history,95957,0.05495916594166334
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,window_insufficient,15200,0.008705767399077533
