layer,role,indicator_id,W,total_row_count,eligible_count,ineligible_count,valid_count,unknown_count,diagnostic_required_count,blocked_count,eligible_ratio,percentile_mean,percentile_std,percentile_q01,percentile_q05,percentile_q10,percentile_q20,percentile_q30,percentile_q50,percentile_q90,percentile_q95,percentile_q99,score_mean,score_std,score_q01,score_q05,score_q10,score_q20,score_q30,score_q50,score_q90,score_q95,score_q99,percentile_tail_extreme_ratio,reference_observation_count_min,reference_observation_count_max,score_formula_mismatch_count,percentile_bounds_violation_count,current_value_in_reference_set_true_count,non_midrank_tie_method_count
P,B,P2_LogRange20,500,1730769,1319004,411765,1319004,411765,0,0,0.7620913016121735,0.49475620771431583,0.30166240028150393,0.003,0.032,0.076,0.174,0.28,0.496,0.911,0.96,0.998,0.505243792285681,0.3016624002815035,0.0020000000000000018,0.040000000000000036,0.08899999999999997,0.18799999999999994,0.29100000000000004,0.504,0.924,0.968,0.997,0.04347295383486328,500,500,0,0,0,0
T,A,T1_ER20,120,1730769,1618814,111955,1618814,111955,0,0,0.9353148802642063,0.5003848805359398,0.29697893880078774,0.008333333333333333,0.041666666666666664,0.09166666666666667,0.19166666666666668,0.2916666666666667,0.5,0.9166666666666665,0.9666666666666668,1.0,0.4996151194640575,0.29697893880078785,0.0,0.033333333333333326,0.08333333333333337,0.19166666666666665,0.29166666666666663,0.5,0.9083333333333333,0.9583333333333335,0.9916666666666667,0.044553605293752095,120,120,0,0,0,0
T,A,T1_ER20,250,1730769,1515495,215274,1515495,215274,0,0,0.8756194500825933,0.5006843849699324,0.29264814237542747,0.008,0.048,0.096,0.196,0.296,0.5,0.908,0.96,0.996,0.49931561503006777,0.29264814237542736,0.0040000000000000036,0.040000000000000036,0.09199999999999997,0.19599999999999995,0.29600000000000004,0.5,0.9039999999999999,0.952,0.992,0.029827878020052854,250,250,0,0,0,0
T,A,T1_ER20,500,1730769,1318219,412550,1318219,412550,0,0,0.7616377459961439,0.4987882241114781,0.29018449012030245,0.009,0.048,0.098,0.198,0.296,0.498,0.902,0.952,0.994,0.5012117758885225,0.2901844901203023,0.006000000000000005,0.04800000000000004,0.09799999999999998,0.19999999999999996,0.30000000000000004,0.502,0.902,0.952,0.9910000000000001,0.026777037806312912,500,500,0,0,0,0
T,B,T2_AbsTrendT20,120,1730769,1619612,111157,1619612,111157,0,0,0.9357759469923485,0.5013639017657636,0.29723032772831565,0.008333333333333333,0.041666666666666664,0.09166666666666667,0.19166666666666668,0.2916666666666667,0.5,0.9166666666666666,0.9666666666666667,1.0,0.4986360982342366,0.29723032772831603,0.0,0.033333333333333326,0.08333333333333337,0.19166666666666665,0.29166666666666663,0.5,0.9083333333333333,0.9583333333333334,0.9916666666666667,0.045768986646184395,120,120,0,0,0,0
T,B,T2_AbsTrendT20,250,1730769,1516287,214482,1516287,214482,0,0,0.8760770501436067,0.5014606627900752,0.2931591967191209,0.008,0.048,0.096,0.196,0.296,0.5,0.908,0.96,0.996,0.49853933720992377,0.29315919671912083,0.0040000000000000036,0.040000000000000036,0.09199999999999997,0.19199999999999995,0.29600000000000004,0.5,0.904,0.952,0.992,0.030017404356826906,250,250,0,0,0,0
T,B,T2_AbsTrendT20,500,1730769,1319004,411765,1319004,411765,0,0,0.7620913016121735,0.4990934083596523,0.2910721576364253,0.008,0.048,0.098,0.196,0.296,0.498,0.904,0.954,0.994,0.5009065916403482,0.29107215763642574,0.006000000000000005,0.04600000000000004,0.09599999999999997,0.19799999999999995,0.30000000000000004,0.502,0.9019999999999999,0.952,0.992,0.027366861662284574,500,500,0,0,0,0
V,A,V1_TurnoverShrink20_60,120,1730769,1567078,163691,1567078,162449,0,1242,0.9054229651675064,0.5119374136663162,0.31651202209525,0.0,0.008333333333333333,0.05,0.175,0.3,0.5166666666666667,0.9583333333333335,1.0,1.0,0.48806258633370014,0.31651202209524915,0.0,0.0,0.04166666666666663,0.16666666666666663,0.2666666666666667,0.4833333333333333,0.95,0.9916666666666667,1.0,0.13854958081218677,120,120,0,0,0,0
V,A,V1_TurnoverShrink20_60,250,1730769,1464003,266766,1464003,265524,0,1242,0.8458685127824683,0.5088572550738981,0.29659810292855776,0.0,0.032,0.088,0.204,0.312,0.516,0.9159999999999999,0.972,1.0,0.49114274492610255,0.2965981029285578,0.0,0.028000000000000025,0.08399999999999996,0.18799999999999994,0.28800000000000003,0.484,0.9120000000000001,0.968,1.0,0.069646032146109,250,250,0,0,0,0
V,A,V1_TurnoverShrink20_60,500,1730769,1267268,463501,1267268,462259,0,1242,0.7321993865154738,0.5101951978586934,0.2910360031163339,0.0,0.046,0.102,0.21,0.314,0.514,0.9099999999999999,0.96,1.0,0.4898048021413003,0.29103600311633426,0.0,0.040000000000000036,0.08999999999999997,0.18999999999999995,0.28800000000000003,0.486,0.898,0.954,1.0,0.04409169962470448,500,500,0,0,0,0
V,B,V2_AmountLevel20Pct,120,1730769,1619612,111157,1619612,111157,0,0,0.9357759469923485,0.49238314485206525,0.3359121173450217,0.0,0.0,0.025,0.125,0.2416666666666667,0.48333333333333334,0.9833333333333333,1.0,1.0,0.5076168551479403,0.33591211734502213,0.0,0.0,0.01666666666666672,0.15000000000000002,0.2666666666666667,0.5166666666666666,0.975,1.0,1.0,0.18136380812194525,120,120,0,0,0,0
V,B,V2_AmountLevel20Pct,250,1730769,1516287,214482,1516287,214482,0,0,0.8760770501436067,0.5203657988230223,0.32422101875979675,0.0,0.008,0.05600000000000001,0.164,0.288,0.54,0.956,1.0,1.0,0.4796342011769958,0.32422101875979636,0.0,0.0,0.04400000000000004,0.136,0.236,0.45999999999999996,0.944,0.992,1.0,0.11638891581870714,250,250,0,0,0,0
V,B,V2_AmountLevel20Pct,500,1730769,1319004,411765,1319004,411765,0,0,0.7620913016121735,0.5533528207647984,0.32058557625243395,0.0,0.024,0.074,0.2,0.336,0.596,0.958,0.992,1.0,0.44664717923522723,0.3205855762524344,0.0,0.008000000000000007,0.04200000000000004,0.11199999999999999,0.19599999999999995,0.404,0.9260000000000002,0.976,1.0,0.08968130498467025,500,500,0,0,0,0
