task_id,run_id,code_commit,transition_path,W,q,K,lag_k,anchor_event_count,control_anchor_count,lag_available_anchor_count,lag_available_control_count,target_valid_event_count,target_true_event_count,target_false_event_count,target_invalid_event_count,event_right_censored_count,target_valid_control_count,target_true_control_count,target_false_control_count,target_invalid_control_count,control_right_censored_count,observed_probability,baseline_probability,absolute_difference,absolute_lift,relative_lift,observed_probability_ci_low,observed_probability_ci_high,baseline_probability_ci_low,baseline_probability_ci_high,absolute_difference_ci_low,absolute_difference_ci_high,relative_lift_ci_low,relative_lift_ci_high,empirical_p,descriptive_status,warnings
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,120,0.3,not_applicable,3,38938,1104843,38927,1102481,37807,16641,21166,1120,11,1070298,244707,825591,32183,2362,0.4401565847594361,0.22863445507699726,0.21152212968243883,0.21152212968243883,1.9251542144477065,0.4401565847594361,0.4401565847594361,0.22863445507699726,0.22863445507699726,0.21152212968243883,0.21152212968243883,1.9251542144477065,1.9251542144477065,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,120,0.3,not_applicable,5,38938,1104843,38916,1100919,37857,16464,21393,1059,22,1069417,254515,814902,31502,3924,0.4348997543386956,0.23799415943453303,0.19690559490416257,0.19690559490416257,1.8273547358137037,0.4348997543386956,0.4348997543386956,0.23799415943453303,0.23799415943453303,0.19690559490416257,0.19690559490416257,1.8273547358137037,1.8273547358137037,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,120,0.3,not_applicable,10,38938,1104843,38898,1097024,37951,15772,22179,947,40,1067289,274205,793084,29735,7819,0.4155885220415799,0.2569172923172636,0.1586712297243163,0.1586712297243163,1.6175965358080115,0.4155885220415799,0.4155885220415799,0.2569172923172636,0.2569172923172636,0.1586712297243163,0.1586712297243163,1.6175965358080115,1.6175965358080115,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,120,0.3,not_applicable,20,38938,1104843,38870,1089198,38117,14868,23249,753,68,1063202,301333,761869,25996,15645,0.3900621769813994,0.2834202719708955,0.10664190501050391,0.10664190501050391,1.3762677393149034,0.3900621769813994,0.3900621769813994,0.2834202719708955,0.2834202719708955,0.10664190501050391,0.10664190501050391,1.3762677393149034,1.3762677393149034,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.1,not_applicable,1,19245,1327751,19245,1326959,18524,4504,14020,721,0,1280610,111045,1169565,46349,792,0.24314402936730728,0.08671258228500481,0.15643144708230247,0.15643144708230247,2.804022472403686,0.24314402936730728,0.24314402936730728,0.08671258228500481,0.08671258228500481,0.15643144708230247,0.15643144708230247,2.804022472403686,2.804022472403686,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.1,not_applicable,3,19245,1327751,19245,1325375,18537,4492,14045,708,0,1280427,113799,1166628,44948,2376,0.24232615849382316,0.08887582033181118,0.15345033816201198,0.15345033816201198,2.726570146853404,0.24232615849382316,0.24232615849382316,0.08887582033181118,0.08887582033181118,0.15345033816201198,0.15345033816201198,2.726570146853404,2.726570146853404,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.1,not_applicable,5,19245,1327751,19245,1323791,18555,4332,14223,690,0,1280240,117098,1163142,43551,3960,0.23346806790622474,0.09146566268824595,0.1420024052179788,0.1420024052179788,2.5525214713852087,0.23346806790622474,0.23346806790622474,0.09146566268824595,0.09146566268824595,0.1420024052179788,0.1420024052179788,2.5525214713852087,2.5525214713852087,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.1,not_applicable,10,19245,1327751,19244,1319834,18592,3855,14737,652,1,1279657,122954,1156703,40177,7917,0.2073472461273666,0.09608355989143966,0.11126368623592695,0.11126368623592695,2.1579888001822436,0.2073472461273666,0.2073472461273666,0.09608355989143966,0.09608355989143966,0.11126368623592695,0.11126368623592695,2.1579888001822436,2.1579888001822436,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.1,not_applicable,20,19245,1327751,19244,1311930,18723,3593,15130,521,1,1277922,128166,1149756,34008,15821,0.19190300699674198,0.10029250611539671,0.09161050088134527,0.09161050088134527,1.9134331609575903,0.19190300699674198,0.19190300699674198,0.10029250611539671,0.10029250611539671,0.09161050088134527,0.09161050088134527,1.9134331609575903,1.9134331609575903,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.2,not_applicable,1,26385,1188450,26385,1187658,25489,8750,16739,896,0,1146574,167952,978622,41084,792,0.34328533877358863,0.14648160519948997,0.19680373357409867,0.19680373357409867,2.343538892177459,0.34328533877358863,0.34328533877358863,0.14648160519948997,0.14648160519948997,0.19680373357409867,0.19680373357409867,2.343538892177459,2.343538892177459,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.2,not_applicable,3,26385,1188450,26385,1186075,25512,8812,16700,873,0,1146200,172972,973228,39875,2375,0.3454060834117278,0.1509090909090909,0.19449699250263688,0.19449699250263688,2.288835492487353,0.3454060834117278,0.3454060834117278,0.1509090909090909,0.1509090909090909,0.19449699250263688,0.19449699250263688,2.288835492487353,2.288835492487353,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.2,not_applicable,5,26385,1188450,26385,1184495,25551,8603,16948,834,0,1145820,179299,966521,38675,3955,0.3366991507181715,0.15648094814194202,0.1802182025762295,0.1802182025762295,2.151694213999494,0.3366991507181715,0.3366991507181715,0.15648094814194202,0.15648094814194202,0.1802182025762295,0.1802182025762295,2.151694213999494,2.151694213999494,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.2,not_applicable,10,26385,1188450,26382,1180548,25618,7980,17638,764,3,1144752,190315,954437,35796,7902,0.31149972675462567,0.16624998252896697,0.1452497442256587,0.1452497442256587,1.8736827638484157,0.31149972675462567,0.31149972675462567,0.16624998252896697,0.16624998252896697,0.1452497442256587,0.1452497442256587,1.8736827638484157,1.8736827638484157,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.2,not_applicable,20,26385,1188450,26376,1172673,25751,7682,18069,625,9,1142140,203788,938352,30533,15777,0.2983185119024504,0.1784264626052848,0.1198920492971656,0.1198920492971656,1.6719409640619896,0.2983185119024504,0.2983185119024504,0.1784264626052848,0.1784264626052848,0.1198920492971656,0.1198920492971656,1.6719409640619896,1.6719409640619896,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.3,not_applicable,1,30835,1055154,30835,1054362,29866,12425,17441,969,0,1018225,204414,813811,36137,792,0.41602491127034086,0.200755235827052,0.21526967544328887,0.21526967544328887,2.072299183413283,0.41602491127034086,0.41602491127034086,0.200755235827052,0.200755235827052,0.21526967544328887,0.21526967544328887,2.072299183413283,2.072299183413283,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.3,not_applicable,3,30835,1055154,30835,1052783,29890,12792,17098,945,0,1017694,210461,807233,35089,2371,0.4279692204750753,0.2068018480997235,0.2211673723753518,0.2211673723753518,2.06946516391237,0.4279692204750753,0.4279692204750753,0.2068018480997235,0.2068018480997235,0.2211673723753518,0.2211673723753518,2.06946516391237,2.06946516391237,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.3,not_applicable,5,30835,1055154,30833,1051210,29924,12740,17184,909,2,1017139,218879,798260,34071,3944,0.42574522122710867,0.21519084412258305,0.21055437710452563,0.21055437710452563,1.9784541622253395,0.42574522122710867,0.42574522122710867,0.21519084412258305,0.21519084412258305,0.21055437710452563,0.21055437710452563,1.9784541622253395,1.9784541622253395,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.3,not_applicable,10,30835,1055154,30828,1047291,30002,12185,17817,826,7,1015616,235717,779899,31675,7863,0.4061395906939537,0.23209264131325225,0.17404694938070148,0.17404694938070148,1.7499029197819016,0.4061395906939537,0.4061395906939537,0.23209264131325225,0.23209264131325225,0.17404694938070148,0.17404694938070148,1.7499029197819016,1.7499029197819016,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,250,0.3,not_applicable,20,30835,1055154,30816,1039501,30154,11715,18439,662,19,1012233,257413,754820,27268,15653,0.3885056708894342,0.25430212213986303,0.1342035487495712,0.1342035487495712,1.5277327126501952,0.3885056708894342,0.3885056708894342,0.25430212213986303,0.25430212213986303,0.1342035487495712,0.1342035487495712,1.5277327126501952,1.5277327126501952,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.1,not_applicable,1,14436,1161005,14436,1160220,14087,3426,10661,349,0,1109604,88479,1021125,50616,785,0.24320295307730533,0.07973925832999881,0.16346369474730651,0.16346369474730651,3.0499776166818147,0.24320295307730533,0.24320295307730533,0.07973925832999881,0.07973925832999881,0.16346369474730651,0.16346369474730651,3.0499776166818147,3.0499776166818147,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.1,not_applicable,3,14436,1161005,14436,1158650,14101,3442,10659,335,0,1109511,90839,1018672,49139,2355,0.24409616339266718,0.08187300531495406,0.16222315807771312,0.16222315807771312,2.9813998210235866,0.24409616339266718,0.24409616339266718,0.08187300531495406,0.08187300531495406,0.16222315807771312,0.16222315807771312,2.9813998210235866,2.9813998210235866,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.1,not_applicable,5,14436,1161005,14436,1157080,14113,3319,10794,323,0,1109428,93602,1015826,47652,3925,0.23517324452632324,0.0843696030747376,0.15080364145158565,0.15080364145158565,2.7874167467399174,0.23517324452632324,0.23517324452632324,0.0843696030747376,0.0843696030747376,0.15080364145158565,0.15080364145158565,2.7874167467399174,2.7874167467399174,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.1,not_applicable,10,14436,1161005,14436,1153155,14135,3024,11111,301,0,1109248,98022,1011226,43907,7850,0.213937035726919,0.08836797542118624,0.12556906030573275,0.12556906030573275,2.4209792598193616,0.213937035726919,0.213937035726919,0.08836797542118624,0.08836797542118624,0.12556906030573275,0.12556906030573275,2.4209792598193616,2.4209792598193616,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.1,not_applicable,20,14436,1161005,14436,1145331,14182,2852,11330,254,0,1108881,102609,1006272,36450,15674,0.20109998589761668,0.09253382463943381,0.10856616125818287,0.10856616125818287,2.173259202040124,0.20109998589761668,0.20109998589761668,0.09253382463943381,0.09253382463943381,0.10856616125818287,0.10856616125818287,2.173259202040124,2.173259202040124,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.2,not_applicable,1,20189,1034870,20189,1034085,19704,6628,13076,485,0,986309,135827,850482,47776,785,0.33637840032480715,0.1377124207525228,0.19866597957228435,0.19866597957228435,2.442614823606206,0.33637840032480715,0.33637840032480715,0.1377124207525228,0.1377124207525228,0.19866597957228435,0.19866597957228435,2.442614823606206,2.442614823606206,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.2,not_applicable,3,20189,1034870,20189,1032515,19723,6792,12931,466,0,986130,139892,846238,46385,2355,0.3443695178218324,0.14185959254864977,0.20250992527318262,0.20250992527318262,2.427537762056755,0.3443695178218324,0.3443695178218324,0.14185959254864977,0.14185959254864977,0.20250992527318262,0.20250992527318262,2.427537762056755,2.427537762056755,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.2,not_applicable,5,20189,1034870,20189,1030945,19739,6661,13078,450,0,985966,145058,840908,44979,3925,0.33745377172095853,0.14712272025607373,0.1903310514648848,0.1903310514648848,2.293689044993221,0.33745377172095853,0.33745377172095853,0.14712272025607373,0.14712272025607373,0.1903310514648848,0.1903310514648848,2.293689044993221,2.293689044993221,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.2,not_applicable,10,20189,1034870,20187,1027034,19770,6283,13487,417,2,985604,154342,831262,41430,7836,0.31780475467880626,0.1565963612160665,0.16120839346273977,0.16120839346273977,2.029451720403067,0.31780475467880626,0.31780475467880626,0.1565963612160665,0.1565963612160665,0.16120839346273977,0.16120839346273977,2.029451720403067,2.029451720403067,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.2,not_applicable,20,20189,1034870,20182,1019262,19814,6080,13734,368,7,984991,165688,819303,34271,15608,0.30685373977995356,0.16821270448156378,0.13864103529838978,0.13864103529838978,1.824200738735432,0.30685373977995356,0.30685373977995356,0.16821270448156378,0.16821270448156378,0.13864103529838978,0.13864103529838978,1.824200738735432,1.824200738735432,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.3,not_applicable,1,23500,918144,23500,917359,22827,9135,13692,673,0,872624,166911,705713,44735,785,0.40018399264029436,0.19127482168723298,0.20890917095306138,0.20890917095306138,2.0921937822776466,0.40018399264029436,0.40018399264029436,0.19127482168723298,0.19127482168723298,0.20890917095306138,0.20890917095306138,2.0921937822776466,2.0921937822776466,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.3,not_applicable,3,23500,918144,23500,915791,22850,9378,13472,650,0,872330,171981,700349,43461,2353,0.4104157549234136,0.19715130741806428,0.2132644475053493,0.2132644475053493,2.081729816039803,0.4104157549234136,0.4104157549234136,0.19715130741806428,0.19715130741806428,0.2132644475053493,0.2132644475053493,2.081729816039803,2.081729816039803,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.3,not_applicable,5,23500,918144,23499,914230,22877,9371,13506,622,1,872046,178742,693304,42184,3914,0.40962538794422343,0.20496854523729252,0.2046568427069309,0.2046568427069309,1.9984792665137925,0.40962538794422343,0.40962538794422343,0.20496854523729252,0.20496854523729252,0.2046568427069309,0.2046568427069309,1.9984792665137925,1.9984792665137925,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.3,not_applicable,10,23500,918144,23494,910360,22921,9097,13824,573,6,871448,192092,679356,38912,7784,0.3968849526634964,0.2204285281508478,0.1764564245126486,0.1764564245126486,1.8005153688269089,0.3968849526634964,0.3968849526634964,0.2204285281508478,0.2204285281508478,0.1764564245126486,0.1764564245126486,1.8005153688269089,1.8005153688269089,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_C,500,0.3,not_applicable,20,23500,918144,23479,902701,23011,9036,13975,468,21,870567,210068,660499,32134,15443,0.39268176089696233,0.2413002100929624,0.15138155080399993,0.15138155080399993,1.6273577248261792,0.39268176089696233,0.39268176089696233,0.2413002100929624,0.2413002100929624,0.15138155080399993,0.15138155080399993,1.6273577248261792,1.6273577248261792,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.1,not_applicable,1,26655,1395809,26655,1395011,26655,2223,24432,0,0,1395011,72804,1322207,0,798,0.08339898705683736,0.05218883578695795,0.03121015126987941,0.03121015126987941,1.5980235197673993,0.08339898705683736,0.08339898705683736,0.05218883578695795,0.05218883578695795,0.03121015126987941,0.03121015126987941,1.5980235197673993,1.5980235197673993,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.1,not_applicable,3,26655,1395809,26655,1393415,26655,2061,24594,0,0,1393415,74803,1318612,0,2394,0.07732132808103545,0.05368321713201021,0.023638110949025244,0.023638110949025244,1.4403259009402833,0.07732132808103545,0.07732132808103545,0.05368321713201021,0.05368321713201021,0.023638110949025244,0.023638110949025244,1.4403259009402833,1.4403259009402833,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.1,not_applicable,5,26655,1395809,26655,1391819,26655,1850,24805,0,0,1391819,76759,1315060,0,3990,0.06940536484712062,0.05515013087190217,0.014255233975218454,0.014255233975218454,1.2584805103786472,0.06940536484712062,0.06940536484712062,0.05515013087190217,0.05515013087190217,0.014255233975218454,0.014255233975218454,1.2584805103786472,1.2584805103786472,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.1,not_applicable,10,26655,1395809,26654,1387832,26654,1382,25272,0,1,1387832,79305,1308527,0,7977,0.05184962857357245,0.05714308360089694,-0.005293455027324492,-0.005293455027324492,0.9073649041361603,0.05184962857357245,0.05184962857357245,0.05714308360089694,0.05714308360089694,-0.005293455027324492,-0.005293455027324492,0.9073649041361603,0.9073649041361603,,negative_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.1,not_applicable,20,26655,1395809,26650,1379875,26650,1264,25386,0,5,1379875,79397,1300478,0,15934,0.0474296435272045,0.05753926986140049,-0.010109626334195987,-0.010109626334195987,0.824300406339047,0.0474296435272045,0.0474296435272045,0.05753926986140049,0.05753926986140049,-0.010109626334195987,-0.010109626334195987,0.824300406339047,0.824300406339047,,negative_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.2,not_applicable,1,34079,1247146,34078,1246349,34078,7134,26944,0,1,1246349,171881,1074468,0,797,0.20934327131873937,0.13790760051959763,0.07143567079914173,0.07143567079914173,1.517996618968004,0.20934327131873937,0.20934327131873937,0.13790760051959763,0.13790760051959763,0.07143567079914173,0.07143567079914173,1.517996618968004,1.517996618968004,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.2,not_applicable,3,34079,1247146,34078,1244756,34078,7128,26950,0,1,1244756,178248,1066508,0,2390,0.2091672046481601,0.14319914907017922,0.06596805557798088,0.06596805557798088,1.4606735166118283,0.2091672046481601,0.2091672046481601,0.14319914907017922,0.14319914907017922,0.06596805557798088,0.06596805557798088,1.4606735166118283,1.4606735166118283,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.2,not_applicable,5,34079,1247146,34077,1243165,34077,6627,27450,0,2,1243165,185011,1058154,0,3981,0.19447134430847787,0.14882256176774603,0.04564878254073185,0.04564878254073185,1.3067329442424986,0.19447134430847787,0.19447134430847787,0.14882256176774603,0.14882256176774603,0.04564878254073185,0.04564878254073185,1.3067329442424986,1.3067329442424986,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.2,not_applicable,10,34079,1247146,34072,1239194,34072,5283,28789,0,7,1239194,195091,1044103,0,7952,0.1550540032871566,0.15743378357222518,-0.002379780285068578,-0.002379780285068578,0.9848839287790043,0.1550540032871566,0.1550540032871566,0.15743378357222518,0.15743378357222518,-0.002379780285068578,-0.002379780285068578,0.9848839287790043,0.9848839287790043,,negative_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.2,not_applicable,20,34079,1247146,34062,1231272,34062,4787,29275,0,17,1231272,196642,1034630,0,15874,0.14053784275732487,0.1597063849417513,-0.01916854218442643,-0.01916854218442643,0.879976356665905,0.14053784275732487,0.14053784275732487,0.1597063849417513,0.1597063849417513,-0.01916854218442643,-0.01916854218442643,0.879976356665905,0.879976356665905,,negative_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.3,not_applicable,1,38938,1104843,38931,1104056,38931,12539,26392,0,7,1104056,246955,857101,0,787,0.3220826590634713,0.22367977711275516,0.09840288195071611,0.09840288195071611,1.4399274857159394,0.3220826590634713,0.3220826590634713,0.22367977711275516,0.22367977711275516,0.09840288195071611,0.09840288195071611,1.4399274857159394,1.4399274857159394,,positive_interval_separated,
R1-T07,R1-T07-20260710T1510Z,e48178558714b05a04c4b99fc65439253228984b,P_TO_T,120,0.3,not_applicable,3,38938,1104843,38927,1102481,38927,12767,26160,0,11,1102481,257491,844990,0,2362,0.3279728722994323,0.2335559524381826,0.09441691986124967,0.09441691986124967,1.4042582467952294,0.3279728722994323,0.3279728722994323,0.2335559524381826,0.2335559524381826,0.09441691986124967,0.09441691986124967,1.4042582467952294,1.4042582467952294,,positive_interval_separated,
