transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.2,not_applicable,1,2020,2615,130890,2560,977,126896,20216,0.381640625,0.15931156222418358,0.22232906277581643,2.39556137465374
P_TO_C,120,0.2,not_applicable,1,2021,3518,130193,3436,1225,126259,22293,0.35651920838183937,0.1765656309649213,0.17995357741691806,2.019188029026271
P_TO_C,120,0.2,not_applicable,1,2022,4365,132666,4325,1537,130004,23459,0.3553757225433526,0.18044829389864928,0.17492742864470331,1.9694047245631106
P_TO_C,120,0.2,not_applicable,1,2023,4930,127469,4882,1738,125838,23224,0.35600163867267515,0.1845547449895898,0.17144689368308536,1.9289758098213958
P_TO_C,120,0.2,not_applicable,1,2024,3136,163307,3114,1155,160977,27515,0.37090558766859344,0.17092503898072395,0.1999805486878695,2.169989779615743
P_TO_C,120,0.2,not_applicable,1,2025,4251,135855,4230,1469,134156,22463,0.34728132387706856,0.1674393989087331,0.17984192496833545,2.0740717306705254
P_TO_C,120,0.2,not_applicable,1,2026,1018,82814,1008,327,81169,11714,0.3244047619047619,0.14431617982234596,0.18008858208241596,2.247875202240705
P_TO_C,120,0.2,not_applicable,3,2016,1143,25010,585,256,17070,2536,0.4376068376068376,0.14856473345049795,0.2890421041563397,2.945563374585457
P_TO_C,120,0.2,not_applicable,3,2017,2373,101787,2249,795,97257,14323,0.3534904401956425,0.1472696052726282,0.20622083492301432,2.4002946130075826
P_TO_C,120,0.2,not_applicable,3,2018,2861,112467,2789,1075,109528,20586,0.38544281104338474,0.1879519392301512,0.19749087181323355,2.0507519774584595
P_TO_C,120,0.2,not_applicable,3,2019,3869,104688,3809,1488,100486,17840,0.3906537148857968,0.17753716935692535,0.21311654552887146,2.2004052238797183
P_TO_C,120,0.2,not_applicable,3,2020,2615,130890,2561,968,126949,20856,0.37797735259664195,0.1642864457380523,0.21369090685858966,2.3007214679128833
P_TO_C,120,0.2,not_applicable,3,2021,3518,130193,3439,1240,126309,22795,0.36056993312009306,0.18047011693545195,0.1800998161846411,1.9979481325933683
P_TO_C,120,0.2,not_applicable,3,2022,4365,132666,4326,1547,130069,24091,0.35760517799352753,0.1852170770898523,0.17238810090367523,1.9307354570769224
P_TO_C,120,0.2,not_applicable,3,2023,4930,127469,4886,1791,125884,24212,0.36655751125665165,0.19233580121381588,0.17422171004283576,1.9058204917822708
P_TO_C,120,0.2,not_applicable,3,2024,3136,163307,3112,1127,160983,28164,0.362146529562982,0.1749501500158402,0.1871963795471418,2.0699983940007645
P_TO_C,120,0.2,not_applicable,3,2025,4251,135855,4230,1462,134186,22964,0.34562647754137116,0.17113558791528177,0.17449088962608938,2.0196061015226627
P_TO_C,120,0.2,not_applicable,3,2026,1018,82814,1010,328,79596,11405,0.32475247524752476,0.14328609477863208,0.18146638046889269,2.2664619044105203
P_TO_C,120,0.2,not_applicable,5,2016,1143,25010,621,256,17428,2747,0.41223832528180354,0.15761992196465457,0.25461840331714897,2.615394806338286
P_TO_C,120,0.2,not_applicable,5,2017,2373,101787,2253,775,97380,14966,0.34398579671549046,0.1536865886218936,0.19029920809359685,2.238229111596583
P_TO_C,120,0.2,not_applicable,5,2018,2861,112467,2789,1055,109573,21500,0.3782717820007171,0.19621622114937073,0.18205556085134636,1.9278313474030035
P_TO_C,120,0.2,not_applicable,5,2019,3869,104688,3811,1496,100538,18700,0.3925478876935188,0.18599932363882313,0.20654856405469565,2.110480188926791
P_TO_C,120,0.2,not_applicable,5,2020,2615,130890,2562,963,127001,21667,0.3758782201405152,0.17060495586648924,0.20527326427402595,2.203208096924612
P_TO_C,120,0.2,not_applicable,5,2021,3518,130193,3441,1217,126362,23445,0.35367625690206334,0.1855383738782229,0.16813788302384045,1.9062162155964395
P_TO_C,120,0.2,not_applicable,5,2022,4365,132666,4327,1489,130129,24937,0.3441183267853016,0.1916329181043426,0.15248540868095897,1.79571615455927
P_TO_C,120,0.2,not_applicable,5,2023,4930,127469,4888,1759,125929,25445,0.359860883797054,0.2020583026943754,0.15780258110267859,1.7809754857802795
P_TO_C,120,0.2,not_applicable,5,2024,3136,163307,3112,1067,160995,28848,0.34286632390745503,0.17918568899655268,0.16368063491090235,1.9134693503009126
P_TO_C,120,0.2,not_applicable,5,2025,4251,135855,4232,1471,134218,23771,0.3475897920604915,0.17710739245108703,0.17048239960940448,1.9625933579056434
P_TO_C,120,0.2,not_applicable,5,2026,1018,82814,1009,326,78030,11146,0.32309217046580774,0.14284249647571448,0.18024967399009326,2.2618770914630337
P_TO_C,120,0.2,not_applicable,10,2016,1143,25010,697,266,18301,3222,0.381635581061693,0.17605595322659964,0.20557962783509334,2.1676948383023102
P_TO_C,120,0.2,not_applicable,10,2017,2373,101787,2262,716,97680,16368,0.3165340406719717,0.16756756756756758,0.14896647310440414,1.8889934685262828
