transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_T,120,0.1,not_applicable,5,0.05515013087190217,0.05583655688670842,0.055715987902957176,26655,1850,0.06940536484712062,1.0,0.0540868850418547,26651,4,0.9998499343462764,0.06940536484712062,0.014255233975218454,0.013689376944163445,0.01531847980526592,""
P_TO_T,120,0.1,not_applicable,10,0.05714308360089694,0.05583655688670842,0.057245615521284814,26654,1382,0.05184962857357245,1.0,0.05677011837248792,26650,4,0.9998499287161402,0.05184962857357245,-0.005293455027324492,-0.005395986947712365,-0.004920489798915469,""
P_TO_T,120,0.1,not_applicable,20,0.05753926986140049,0.05583655688670842,0.057492730999725426,26650,1264,0.0474296435272045,1.0,0.05701022598552168,26646,4,0.9998499061913696,0.0474296435272045,-0.010109626334195987,-0.010063087472520924,-0.00958058245831718,""
P_TO_T,120,0.2,not_applicable,1,0.13790760051959763,0.15327146911257253,0.16743314020200237,34078,7134,0.20934327131873937,1.0,0.1332199871303957,34077,1,0.9999706555549035,0.20934327131873937,0.07143567079914173,0.041910131116737,0.07612328418834366,""
P_TO_T,120,0.2,not_applicable,3,0.14319914907017922,0.15327146911257253,0.15579419831819946,34078,7128,0.2091672046481601,1.0,0.1402477718911562,34077,1,0.9999706555549035,0.2091672046481601,0.06596805557798088,0.05337300632996064,0.0689194327570039,""
P_TO_T,120,0.2,not_applicable,5,0.14882256176774603,0.15327146911257253,0.15391722753474274,34077,6627,0.19447134430847787,1.0,0.14770236676150272,34076,1,0.9999706546937818,0.19447134430847787,0.04564878254073185,0.04055411677373513,0.04676897754697515,""
P_TO_T,120,0.2,not_applicable,10,0.15743378357222518,0.15327146911257253,0.15800027375397963,34072,5283,0.1550540032871566,1.0,0.15860167967022099,34071,1,0.9999706503874148,0.1550540032871566,-0.002379780285068578,-0.0029462704668230255,-0.0035476763830643854,""
P_TO_T,120,0.2,not_applicable,20,0.1597063849417513,0.15327146911257253,0.15932810155061897,34062,4787,0.14053784275732487,1.0,0.15984233538344483,34061,1,0.9999706417708883,0.14053784275732487,-0.01916854218442643,-0.0187902587932941,-0.019304492626119968,""
P_TO_T,120,0.3,not_applicable,1,0.22367977711275516,0.2554524485209542,0.2725246790708507,38931,12539,0.3220826590634713,1.0,0.21709100618110527,38930,1,0.9999743135290643,0.3220826590634713,0.09840288195071611,0.04955797999262057,0.104991652882366,""
P_TO_T,120,0.3,not_applicable,3,0.2335559524381826,0.2554524485209542,0.260490061344809,38927,12767,0.3279728722994323,1.0,0.2294951060335228,38926,1,0.9999743108896139,0.3279728722994323,0.09441691986124967,0.06748281095462327,0.09847776626590948,""
