transition_path,W,q,K,lag_k,event_security_count,per_security_median_effect,positive_security_count,negative_security_count,zero_security_count,pooled_absolute_difference,pooled_vs_security_median_sign_consistency
P_TO_V,250,0.2,not_applicable,20,788,0.06603076693006232,617,161,10,0.07603187382998008,true
P_TO_V,250,0.3,not_applicable,1,791,0.21594958893694077,770,10,8,0.2205119930250254,true
P_TO_V,250,0.3,not_applicable,3,791,0.22595517177514918,768,11,9,0.2250963981870422,true
P_TO_V,250,0.3,not_applicable,5,791,0.21482617586912067,767,14,8,0.21820154979428105,true
P_TO_V,250,0.3,not_applicable,10,791,0.19292672596357474,760,23,6,0.1941073821455216,true
P_TO_V,250,0.3,not_applicable,20,791,0.10767159807446777,698,87,5,0.11246977562504615,true
P_TO_V,500,0.1,not_applicable,1,770,0.08849789893131926,607,98,59,0.1104559091530972,true
P_TO_V,500,0.1,not_applicable,3,770,0.09378428960620377,618,89,57,0.11438198631015108,true
P_TO_V,500,0.1,not_applicable,5,770,0.09515783760867658,613,98,53,0.1098463800947487,true
P_TO_V,500,0.1,not_applicable,10,770,0.06689965860153646,572,141,51,0.08911788369590531,true
P_TO_V,500,0.1,not_applicable,20,770,0.025033320457739275,462,253,51,0.04566583832021801,true
P_TO_V,500,0.2,not_applicable,1,776,0.1472186472186472,698,34,37,0.15826257038095906,true
P_TO_V,500,0.2,not_applicable,3,776,0.1530060553633218,696,39,34,0.16450010580561042,true
P_TO_V,500,0.2,not_applicable,5,776,0.15070399476096924,704,30,35,0.16050107917204845,true
P_TO_V,500,0.2,not_applicable,10,776,0.13098778837377648,697,41,32,0.14205918614594204,true
P_TO_V,500,0.2,not_applicable,20,776,0.07829310207950986,616,125,29,0.08941209610048576,true
P_TO_V,500,0.3,not_applicable,1,779,0.17808390819005393,729,15,30,0.19193143079284272,true
P_TO_V,500,0.3,not_applicable,3,779,0.1957946858329614,728,15,31,0.20374106408099532,true
P_TO_V,500,0.3,not_applicable,5,779,0.19289459800811576,729,17,28,0.19987680040211858,true
P_TO_V,500,0.3,not_applicable,10,779,0.17790127024300503,731,19,24,0.18486607711537856,true
P_TO_V,500,0.3,not_applicable,20,779,0.11945378855029029,671,79,24,0.12539480634924915,true
